crime_id,crime_date,crime_time,crime_type,muni,year,month,week,day,week_day,week_day_name,crime_hour,crime_lon,crime_lat,atm_dist,bank_dist,bar_dist,cafe_dist,industrial_dist,market_dist,nightclub_dist,police_dist,pub_dist,restaurant_dist,taxi_dist,grid_id,grid_lon,grid_lat,utm_x,utm_y,datetime,timestamp
v43473,2015-12-01,00:31:21,Agresion,Valencia,2015,12,48,335,2,Monday,0,-0.393762887,39.48238373,443.7999736,196.2624,211.9646,179.1569,802.4103,1271.111,630.5953,1442.2917,977.0009,92.8427,530.4986,167,-0.395366845,39.48304775,724153.2132197424,4373552.245941792,2015-12-01 00:31:21,1448929881
v43477,2015-12-01,05:20:32,Agresion,Valencia,2015,12,48,335,2,Monday,5,-0.390084386,39.45378494,1136.207534,46.9575,142.7606,29.2287,172.6442,1759.2828,309.14,867.9732,202.8117,320.4542,1131.696,268,-0.389800975,39.45350525,724561.6123892552,4370386.877778083,2015-12-01 05:20:32,1448947232
v43479,2015-12-01,06:16:32,Agresion,Valencia,2015,12,48,335,2,Monday,6,-0.383224964,39.45858383,299.0672349,468.4696,274.7488,194.2842,80.29,1192.6878,38.1574,622.8397,114.1508,168.6593,297.2664,249,-0.384235105,39.45941375,725136.4170850337,4370936.6860644,2015-12-01 06:16:32,1448950592
v43478,2015-12-01,14:39:26,Agresion,Valencia,2015,12,48,335,2,Monday,14,-0.367985308,39.48564529,381.5175307,259.9464,219.5731,330.8215,232.7994,647.3424,791.9064,665.3846,371.026,183.9783,960.7844,172,-0.367537495,39.48304775,726359.9686253746,4373978.782712204,2015-12-01 14:39:26,1448980766
v43475,2015-12-01,15:18:17,Agresion,Valencia,2015,12,48,335,2,Monday,15,-0.393139988,39.45067978,1566.498721,408.5862,350.5074,307.1131,346.1194,1791.4447,572.9979,1255.9371,72.3838,237.9602,1111.327,267,-0.395366845,39.45350525,724308.6399078402,4370034.58661479,2015-12-01 15:18:17,1448983097
v43476,2015-12-01,15:24:58,Agresion,Valencia,2015,12,48,335,2,Monday,15,-0.384630144,39.46146774,404.2855511,237.919,353.6428,284.8117,141.4931,1148.2968,286.8264,356.7316,226.8463,103.8008,363.7185,249,-0.384235105,39.45941375,725006.2116326888,4371253.295745713,2015-12-01 15:24:58,1448983498
v43482,2015-12-01,20:15:22,Agresion,Valencia,2015,12,48,335,2,Monday,20,-0.375160009,39.49452591,352.828599,137.3313,868.5021,438.53,984.2225,1090.6525,964.4871,497.5259,672.9328,582.0611,430.4081,131,-0.373103365,39.49486475,725714.1027835155,4374946.542616386,2015-12-01 20:15:22,1449000922
v43480,2015-12-01,22:36:25,Agresion,Valencia,2015,12,48,335,2,Monday,22,-0.402299464,39.45140076,2329.516797,365.8906,845.6312,911.1084,391.3257,1412.0202,1147.3527,1222.9944,852.5381,414.7799,849.8182,266,-0.400932715,39.45350525,723518.095655853,4370091.8528892575,2015-12-01 22:36:25,1449009385
v43484,2015-12-02,01:49:58,Agresion,Valencia,2015,12,48,336,3,Tuesday,1,-0.392050952,39.483078,328.1742284,306.6756,297.9141,286.7826,797.2327,1220.6641,484.5957,1412.6329,1057.5993,245.9804,445.8207,168,-0.389800975,39.48304775,724298.2383397163,4373633.575113858,2015-12-02 01:49:58,1449020998
v43489,2015-12-02,14:29:56,Agresion,Valencia,2015,12,48,336,3,Tuesday,14,-0.348656535,39.47595596,814.4793343,258.7095,415.4833,122.1166,1093.0812,1114.2154,1957.4072,1532.3273,244.1285,29.6642,1074.1119,195,-0.350839885,39.47713925,728054.1885876679,4372952.013330575,2015-12-02 14:29:56,1449066596
