crime_id,crime_date,crime_time,crime_type,muni,year,month,week,day,week_day,week_day_name,crime_hour,crime_lon,crime_lat,atm_dist,bank_dist,bar_dist,cafe_dist,industrial_dist,market_dist,nightclub_dist,police_dist,pub_dist,restaurant_dist,taxi_dist,grid_id,grid_lon,grid_lat,utm_x,utm_y,datetime,timestamp
v36339,2015-01-01,19:35:06,Otros,Valencia,2015,1,1,1,4,Wednesday,19,-0.381435096,39.48958206,362.2747428,303.1846,502.3868,255.0359,1370.9203,920.7009,726.8131,357.7175,723.4029,287.414,1144.2354,150,-0.378669235,39.48895625,725190.3874929568,4374382.044498876,2015-01-01 19:35:06,1420140906
v36370,2015-01-03,05:09:42,Otros,Valencia,2015,1,1,3,6,Friday,5,-0.386916578,39.4571228,691.6691183,172.5989,542.1845,479.9243,241.433,1588.8609,238.4352,536.1465,455.4125,346.0503,681.3387,249,-0.384235105,39.45941375,724823.4670169647,4370765.288592928,2015-01-03 05:09:42,1420261782
v36377,2015-01-03,22:17:40,Otros,Valencia,2015,1,1,3,6,Friday,22,-0.357340038,39.48999786,1486.441383,170.8292,398.1324,268.0769,261.0304,1796.4157,1921.6415,317.2312,196.7415,142.2282,1435.6344,154,-0.356405755,39.48895625,727261.4330519404,4374488.751869162,2015-01-03 22:17:40,1420323460
v36391,2015-01-04,05:03:36,Otros,Valencia,2015,1,1,4,7,Saturday,5,-0.375640512,39.46279144,570.4648094,261.3712,76.6625,90.8519,87.6724,386.3008,123.2566,1010.9829,110.9669,89.0356,454.1671,231,-0.373103365,39.46532225,725775.4343817534,4371422.724407665,2015-01-04 05:03:36,1420347816
v36405,2015-01-04,17:50:55,Otros,Valencia,2015,1,1,4,7,Saturday,17,-0.381706029,39.49024582,349.2536247,231.6298,511.0081,326.7276,1407.041,984.7677,790.9568,420.3581,792.5665,215.7536,1176.2774,149,-0.384235105,39.48895625,725164.9420556478,4374455.046017007,2015-01-04 17:50:55,1420393855
v36401,2015-01-04,20:14:34,Otros,Valencia,2015,1,1,4,7,Saturday,20,-0.390709013,39.48149872,496.2679519,307.8103,295.7221,213.4812,612.4292,1015.0576,316.0681,1211.3394,856.4566,237.2903,238.6552,168,-0.389800975,39.48304775,724418.7477801,4373461.614986965,2015-01-04 20:14:34,1420402474
v36436,2015-01-06,02:44:33,Otros,Valencia,2015,1,1,6,2,Monday,2,-0.39099282,39.46723175,694.5777662,128.1704,276.3855,366.2555,28.0588,808.3791,74.379,293.8217,179.9001,155.1547,668.8824,228,-0.389800975,39.46532225,724440.2118668237,4371877.239416908,2015-01-06 02:44:33,1420512273
v36431,2015-01-06,03:37:30,Otros,Valencia,2015,1,1,6,2,Monday,3,-0.380925626,39.46600723,572.55976,51.7068,81.7109,34.7635,472.7284,778.0562,478.6666,447.0079,310.9113,40.5842,322.7203,230,-0.378669235,39.46532225,725310.3124714796,4371766.450583467,2015-01-06 03:37:30,1420515450
v36441,2015-01-06,12:48:51,Otros,Valencia,2015,1,1,6,2,Monday,12,-0.394650936,39.49332428,312.8155486,59.0942,228.8091,275.3171,1853.7895,2244.7384,1399.1247,1713.7164,525.8493,520.6465,614.5036,127,-0.395366845,39.49486475,724041.6839531284,4374764.464529695,2015-01-06 12:48:51,1420548531
v36475,2015-01-08,19:42:04,Otros,Valencia,2015,1,2,8,4,Wednesday,19,-0.374683529,39.46087265,610.9405443,47.7274,138.2212,91.5524,256.2489,311.072,228.6755,821.5053,103.5301,14.4388,640.679,251,-0.373103365,39.45941375,725863.9824990475,4371212.133123985,2015-01-08 19:42:04,1420746124
