crime_id,crime_date,crime_time,crime_type,muni,year,month,week,day,week_day,week_day_name,crime_hour,crime_lon,crime_lat,atm_dist,bank_dist,bar_dist,cafe_dist,industrial_dist,market_dist,nightclub_dist,police_dist,pub_dist,restaurant_dist,taxi_dist,grid_id,grid_lon,grid_lat,utm_x,utm_y,datetime,timestamp
v38190,2015-04-01,03:56:38,Sustraccion,Valencia,2015,4,13,91,3,Tuesday,3,-0.332289994,39.46710968,92.86641646,478.6308,180.4658,196.0431,36.1282,96.4115,742.4913,288.5197,17.144,76.8225,327.9,238,-0.334142275,39.46532225,729491.231511675,4372011.625337184,2015-04-01 03:56:38,1427860598
v38198,2015-04-01,09:29:00,Sustraccion,Valencia,2015,4,13,91,3,Tuesday,9,-0.375661135,39.44351196,1753.118096,579.5983,892.7557,659.9742,675.5178,1862.616,1081.3316,993.1489,1188.1107,516.9273,954.3527,311,-0.373103365,39.44168825,725835.9918143437,4369282.604888851,2015-04-01 09:29:00,1427880540
v38191,2015-04-01,13:44:06,Sustraccion,Valencia,2015,4,13,91,3,Tuesday,13,-0.401477098,39.47288132,1601.828453,276.0216,796.1374,395.0636,968.2943,759.2342,1118.4396,571.2148,826.4612,173.324,548.3518,206,-0.400932715,39.47123075,723520.0883078915,4372478.279775636,2015-04-01 13:44:06,1427895846
v38217,2015-04-02,01:07:51,Sustraccion,Valencia,2015,4,14,92,4,Wednesday,1,-0.345724285,39.47177887,620.6471632,203.5544,134.6741,210.7109,899.8141,997.5523,1525.3562,1542.8083,106.1033,131.2996,566.3629,216,-0.345274015,39.47123075,728320.1049214073,4372495.773517332,2015-04-02 01:07:51,1427936871
v38203,2015-04-02,12:50:11,Sustraccion,Valencia,2015,4,14,92,4,Wednesday,12,-0.32402274,39.4620285,1020.348707,677.5545,328.4935,802.3323,398.4021,1063.5418,1098.1867,496.8503,557.6162,130.4723,103.8757,260,-0.323010535,39.45941375,730219.282409321,4371468.696000364,2015-04-02 12:50:11,1427979011
v38212,2015-04-02,16:53:15,Sustraccion,Valencia,2015,4,14,92,4,Wednesday,16,-0.38697499,39.45235825,1006.906718,211.6086,483.5678,203.5519,66.3288,1801.5854,457.2331,1002.5735,366.9194,61.3727,1016.8844,269,-0.384235105,39.45350525,724833.7788201246,4370236.267319414,2015-04-02 16:53:15,1427993595
v38207,2015-04-02,19:48:37,Sustraccion,Valencia,2015,4,14,92,4,Wednesday,19,-0.384949267,39.48973083,54.12373325,181.2264,250.2035,512.4426,1504.9509,1218.0811,885.8552,679.1956,989.1148,342.531,1002.8928,149,-0.384235105,39.48895625,724887.656913094,4374389.773498794,2015-04-02 19:48:37,1428004117
v38201,2015-04-02,22:54:13,Sustraccion,Valencia,2015,4,14,92,4,Wednesday,22,-0.357178956,39.46913528,656.3208369,162.2831,12.972,163.5206,265.3698,437.719,1119.7433,797.0059,521.5686,85.5615,562.588,214,-0.356405755,39.47123075,727343.251894128,4372173.347914284,2015-04-02 22:54:13,1428015253
v38228,2015-04-03,02:02:57,Sustraccion,Valencia,2015,4,14,93,5,Thursday,2,-0.3781299,39.4937439,659.868113,68.0629,809.4019,694.0201,1181.6684,1076.5657,912.1122,627.8506,811.6931,349.4293,734.25,130,-0.378669235,39.49486475,725461.2109232137,4374852.294081983,2015-04-03 02:02:57,1428026577
v38226,2015-04-03,06:08:59,Sustraccion,Valencia,2015,4,14,93,5,Thursday,6,-0.383224964,39.45858383,299.0672349,468.4696,274.7488,194.2842,80.29,1192.6878,38.1574,622.8397,114.1508,168.6593,297.2664,249,-0.384235105,39.45941375,725136.4170850337,4370936.6860644,2015-04-03 06:08:59,1428041339
v38229,2015-04-03,13:25:37,Sustraccion,Valencia,2015,4,14,93,5,Thursday,13,-0.342085004,39.46586609,836.7244071,332.6366,311.1601,285.2955,613.7764,825.5188,851.3984,1211.3684,684.6469,262.6891,178.8686,237,-0.339708145,39.46532225,728652.5663062145,4371848.669490881,2015-04-03 13:25:37,1428067537
v38234,2015-04-03,13:30:58,Sustraccion,Valencia,2015,4,14,93,5,Thursday,13,-0.3622545,39.48225021,794.6226568,136.0742,322.2442,126.9486,50.2002,1195.6688,1137.9588,880.5817,166.9316,111.502,1502.387,173,-0.361971625,39.48304775,726863.939853153,4373616.343308079,2015-04-03 13:30:58,1428067858
v38237,2015-04-04,17:29:31,Sustraccion,Valencia,2015,4,14,94,6,Friday,17,-0.380563408,39.47316742,94.23272241,60.6988,171.246,49.6946,562.8657,128.2663,678.0755,359.4176,150.1616,48.9651,549.7511,210,-0.378669235,39.47123075,725318.362927165,4372562.155959081,2015-04-04 17:29:31,1428168571
v38236,2015-04-04,19:34:52,Sustraccion,Valencia,2015,4,14,94,6,Friday,19,-0.364862412,39.48534775,602.9185838,152.9666,40.9852,330.2478,365.6597,943.0548,1101.63,937.127,61.5931,50.9372,1120.6902,172,-0.367537495,39.48304775,726629.5487941481,4373953.611527386,2015-04-04 19:34:52,1428176092
v38244,2015-04-04,21:37:57,Sustraccion,Valencia,2015,4,14,94,6,Friday,21,-0.374283999,39.46737289,326.581846,60.6506,314.45,42.3324,402.835,574.1372,326.6263,964.9516,224.9396,47.2013,151.1096,231,-0.373103365,39.46532225,725877.3282573743,4371934.678248983,2015-04-04 21:37:57,1428183477
v38266,2015-04-05,01:36:53,Sustraccion,Valencia,2015,4,14,95,7,Saturday,1,-0.329064995,39.48037338,537.1161553,112.9251,359.6732,389.1232,25.4409,1288.9041,836.8211,785.2022,120.8154,158.5322,1180.2569,179,-0.328576405,39.48304775,729725.038312986,4373492.1650173385,2015-04-05 01:36:53,1428197813
v38257,2015-04-05,05:58:18,Sustraccion,Valencia,2015,4,14,95,7,Saturday,5,-0.386916578,39.4571228,691.6691183,172.5989,542.1845,479.9243,241.433,1588.8609,238.4352,536.1465,455.4125,346.0503,681.3387,249,-0.384235105,39.45941375,724823.4670169647,4370765.288592928,2015-04-05 05:58:18,1428213498
v38258,2015-04-05,06:09:32,Sustraccion,Valencia,2015,4,14,95,7,Saturday,6,-0.376560271,39.4854393,684.7889811,371.178,113.9895,430.763,909.733,280.9782,87.1632,284.3455,159.3686,199.3048,1065.9324,170,-0.378669235,39.48304775,725623.0664590617,4373934.392133256,2015-04-05 06:09:32,1428214172
v38265,2015-04-05,14:23:00,Sustraccion,Valencia,2015,4,14,95,7,Saturday,14,-0.37105,39.45581055,1069.49694,137.7865,298.2936,392.5031,608.9436,587.9342,598.5323,338.1768,637.9712,302.0731,604.8985,271,-0.373103365,39.45350525,726193.0253563074,4370659.34463863,2015-04-05 14:23:00,1428243780
v38273,2015-04-05,15:08:49,Sustraccion,Valencia,2015,4,14,95,7,Saturday,15,-0.367625475,39.45646667,1145.892743,478.0744,549.8738,318.8047,800.5598,637.316,710.1761,7.36507,583.7805,78.7945,944.3498,252,-0.367537495,39.45941375,726485.5814085103,4370740.779826921,2015-04-05 15:08:49,1428246529
v38276,2015-04-05,23:06:09,Sustraccion,Valencia,2015,4,14,95,7,Saturday,23,-0.322494298,39.46653366,988.9503232,918.2456,149.8662,779.3465,307.0921,1052.8868,696.3702,464.1583,611.5082,137.799,373.4044,240,-0.323010535,39.46532225,730335.9310088748,4371972.692121837,2015-04-05 23:06:09,1428275169
v38285,2015-04-06,11:01:29,Sustraccion,Valencia,2015,4,14,96,1,Sunday,11,-0.372999281,39.47679901,218.204899,218.0902,265.6584,221.9964,1180.1556,691.1672,675.5232,975.1378,315.2911,90.1938,303.7545,191,-0.373103365,39.47713925,725957.342593413,4372984.225817293,2015-04-06 11:01:29,1428318089
v38284,2015-04-06,13:36:31,Sustraccion,Valencia,2015,4,14,96,1,Sunday,13,-0.380433083,39.46969223,286.423101,148.271,95.4917,64.8265,492.9888,407.96,679.1211,307.7893,333.8916,92.0864,374.0896,210,-0.378669235,39.47123075,725340.7941544594,4372176.727073775,2015-04-06 13:36:31,1428327391
v38283,2015-04-06,14:54:31,Sustraccion,Valencia,2015,4,14,96,1,Sunday,14,-0.369650006,39.49585342,213.9732976,204.3205,1041.0994,136.5216,799.0,1303.1614,1258.9949,667.0206,743.3256,898.9509,160.0999,132,-0.367537495,39.49486475,726183.675064104,4375107.73184282,2015-04-06 14:54:31,1428332071
v38280,2015-04-06,19:16:11,Sustraccion,Valencia,2015,4,14,96,1,Sunday,19,-0.394005001,39.48189926,497.9597222,148.2603,167.6186,138.0613,774.1254,1252.2979,647.914,1417.2569,946.8113,44.2619,528.7338,167,-0.395366845,39.48304775,724133.9433963648,4373497.86582599,2015-04-06 19:16:11,1428347771
v38281,2015-04-06,21:15:05,Sustraccion,Valencia,2015,4,14,96,1,Sunday,21,-0.381706029,39.49024582,349.2536247,231.6298,511.0081,326.7276,1407.041,984.7677,790.9568,420.3581,792.5665,215.7536,1176.2774,149,-0.384235105,39.48895625,725164.9420556478,4374455.046017007,2015-04-06 21:15:05,1428354905
v38298,2015-04-07,01:34:08,Sustraccion,Valencia,2015,4,14,97,2,Monday,1,-0.366145015,39.44456863,1197.289092,965.2364,857.4961,1296.4477,410.7138,1791.5389,1819.711,630.4256,1774.7635,416.4888,1330.723,312,-0.367537495,39.44168825,726651.5801487804,4369423.79098169,2015-04-07 01:34:08,1428370448
v38299,2015-04-07,05:03:11,Sustraccion,Valencia,2015,4,14,97,2,Monday,5,-0.365345836,39.48681641,646.8813269,298.4303,123.0737,214.3284,233.6792,935.1274,1069.5841,827.8349,166.6613,104.0877,971.5135,152,-0.367537495,39.48895625,726583.1969270745,4374115.420430523,2015-04-07 05:03:11,1428382991
v38297,2015-04-07,07:42:07,Sustraccion,Valencia,2015,4,14,97,2,Monday,7,-0.361775964,39.42854691,2419.354523,2294.9072,2474.8954,2656.4077,631.7687,3452.0562,3068.9336,2287.8464,2372.4949,230.4472,2638.4882,353,-0.361971625,39.42987125,727079.6579561552,4367656.341358085,2015-04-07 07:42:07,1428392527
