crime_id,crime_date,crime_time,crime_type,muni,year,month,week,day,week_day,week_day_name,crime_hour,crime_lon,crime_lat,atm_dist,bank_dist,bar_dist,cafe_dist,industrial_dist,market_dist,nightclub_dist,police_dist,pub_dist,restaurant_dist,taxi_dist,grid_id,grid_lon,grid_lat,utm_x,utm_y,datetime,timestamp
v38766,2015-05-01,00:42:28,Agresion,Valencia,2015,5,18,121,5,Thursday,0,-0.390969992,39.43294144,2918.496506,252.5118,230.9004,1437.1599,1226.517,3469.6051,1606.1491,2844.8688,1052.4432,1594.0433,261.8751,328,-0.389800975,39.43577975,724552.3837549051,4368071.0014909385,2015-05-01 00:42:28,1430440948
v38756,2015-05-01,00:57:38,Agresion,Valencia,2015,5,18,121,5,Thursday,0,-0.38852793,39.48327255,446.5835408,581.0762,385.7701,362.4857,790.6411,1084.2743,223.0194,1083.6151,820.8304,301.2515,318.2895,168,-0.389800975,39.48304775,724600.6521995497,4373663.953356481,2015-05-01 00:57:38,1430441858
v38771,2015-05-01,06:03:42,Agresion,Valencia,2015,5,18,121,5,Thursday,6,-0.357606381,39.46464157,770.9400883,246.1267,101.7152,12.9595,318.8771,394.3364,1287.0895,1087.1529,498.4681,329.2976,121.0221,234,-0.356405755,39.46532225,727321.1113833826,4371673.454257736,2015-05-01 06:03:42,1430460222
v38758,2015-05-01,06:34:44,Agresion,Valencia,2015,5,18,121,5,Thursday,6,-0.380557775,39.46571732,543.7351205,76.4919,82.729,80.8157,468.2843,800.1862,432.285,493.2295,350.262,73.7665,298.254,230,-0.378669235,39.46532225,725342.8975514747,4371735.190141763,2015-05-01 06:34:44,1430462084
v38770,2015-05-01,09:43:23,Agresion,Valencia,2015,5,18,121,5,Thursday,9,-0.374655247,39.48156738,368.0676557,343.5182,129.1198,254.1533,936.2925,209.4688,355.384,707.4534,325.5708,162.961,675.0,171,-0.373103365,39.48304775,725799.4570305878,4373509.373976807,2015-05-01 09:43:23,1430473403
v38762,2015-05-01,13:04:23,Agresion,Valencia,2015,5,18,121,5,Thursday,13,-0.371259987,39.49430084,112.1508228,99.7708,846.0211,166.6331,720.6647,1106.3243,1046.3832,456.6479,559.8982,689.5798,64.5189,131,-0.373103365,39.49486475,726050.246665596,4374931.346192656,2015-05-01 13:04:23,1430485463
v38755,2015-05-01,16:00:47,Agresion,Valencia,2015,5,18,121,5,Thursday,16,-0.334715992,39.47019958,145.6966328,499.4902,217.7641,539.1583,71.5073,253.6591,980.3525,431.1452,392.683,181.364,22.7412,218,-0.334142275,39.47123075,729272.3551358422,4372348.435409754,2015-05-01 16:00:47,1430496047
v38757,2015-05-01,17:27:09,Agresion,Valencia,2015,5,18,121,5,Thursday,17,-0.325515002,39.47196579,781.2757862,522.0999,289.2143,208.4119,18.4241,850.9244,102.6566,127.4468,724.8383,200.3355,559.852,220,-0.323010535,39.47123075,730058.1295859013,4372567.956237588,2015-05-01 17:27:09,1430501229
v38760,2015-05-01,18:34:07,Agresion,Valencia,2015,5,18,121,5,Thursday,18,-0.376389772,39.47226715,351.1399618,94.7883,103.4155,53.1222,895.9484,325.525,825.6255,705.1556,88.2962,25.5969,279.2887,210,-0.378669235,39.47123075,725680.3297959617,4372472.674710628,2015-05-01 18:34:07,1430505247
v38761,2015-05-01,19:57:59,Agresion,Valencia,2015,5,18,121,5,Thursday,19,-0.346211106,39.47071457,521.0884047,98.2533,33.2624,117.0402,790.9977,899.4256,1482.5897,1578.248,220.1958,172.8661,532.9309,216,-0.345274015,39.47123075,728281.7038910186,4372376.398700771,2015-05-01 19:57:59,1430510279
v38767,2015-05-01,21:29:30,Agresion,Valencia,2015,5,18,121,5,Thursday,21,-0.383044362,39.48521042,445.679564,623.335,369.9177,325.1433,1181.7218,878.7618,599.4316,504.2,622.2849,134.3918,702.2153,169,-0.384235105,39.48304775,725066.0801171836,4373892.756035371,2015-05-01 21:29:30,1430515770
v38763,2015-05-01,22:16:18,Agresion,Valencia,2015,5,18,121,5,Thursday,22,-0.364585072,39.48513794,618.4674439,118.4925,48.871,307.5436,331.2703,966.8095,1128.7187,971.6604,50.5176,75.1387,1153.3274,173,-0.361971625,39.48304775,726654.0857602656,4373931.020168628,2015-05-01 22:16:18,1430518578
v38774,2015-05-02,00:39:05,Agresion,Valencia,2015,5,18,122,6,Friday,0,-0.389832377,39.45714569,959.5559144,266.6056,339.6453,188.6797,195.3758,1577.346,158.5849,535.3359,233.0603,417.0644,942.1385,248,-0.389800975,39.45941375,724572.4912988635,4370760.55646557,2015-05-02 00:39:05,1430527145
v38793,2015-05-02,01:07:35,Agresion,Valencia,2015,5,18,122,6,Friday,1,-0.375772446,39.48505402,598.4109636,343.3095,200.0441,509.5396,846.8122,196.8201,17.622,368.072,165.9223,124.8375,1021.2405,171,-0.373103365,39.48304775,725692.0771739633,4373893.5996379135,2015-05-02 01:07:35,1430528855
v38794,2015-05-02,01:09:57,Agresion,Valencia,2015,5,18,122,6,Friday,1,-0.368595004,39.49526596,312.8305179,305.3986,999.9048,251.1451,718.5233,1289.8183,1265.8121,679.2107,726.4237,783.6071,231.5473,132,-0.367537495,39.49486475,726276.3130785828,4375045.173606779,2015-05-02 01:09:57,1430528997
