crime_id,crime_date,crime_time,crime_type,muni,year,month,week,day,week_day,week_day_name,crime_hour,crime_lon,crime_lat,atm_dist,bank_dist,bar_dist,cafe_dist,industrial_dist,market_dist,nightclub_dist,police_dist,pub_dist,restaurant_dist,taxi_dist,grid_id,grid_lon,grid_lat,utm_x,utm_y,datetime,timestamp
v39433,2015-06-01,00:28:09,Sustraccion,Valencia,2015,6,22,152,1,Sunday,0,-0.391449988,39.49058533,424.9740444,307.5183,280.5757,370.2749,1522.883,1841.0701,1010.0873,1327.7009,835.7481,336.0134,858.7909,148,-0.389800975,39.48895625,724325.7887497356,4374468.405612662,2015-06-01 00:28:09,1433118489
v39445,2015-06-01,19:17:56,Sustraccion,Valencia,2015,6,22,152,1,Sunday,19,-0.38731271,39.4732132,293.8621582,112.0246,216.6549,274.1468,283.0036,206.9525,202.5416,321.1372,338.309,100.0368,476.1619,208,-0.389800975,39.47123075,724737.5769082565,4372550.372156947,2015-06-01 19:17:56,1433186276
v39449,2015-06-01,22:45:29,Sustraccion,Valencia,2015,6,22,152,1,Sunday,22,-0.384694457,39.47687531,577.3778778,343.6236,151.4188,136.4644,521.7004,398.2684,524.0398,620.617,109.0305,79.3689,459.1086,189,-0.384235105,39.47713925,724951.0189639891,4372963.413114815,2015-06-01 22:45:29,1433198729
v39450,2015-06-01,23:50:41,Sustraccion,Valencia,2015,6,22,152,1,Sunday,23,-0.407045007,39.47186661,2003.47857,475.735,822.0854,504.6371,1446.1237,740.56,1652.4568,514.3109,639.863,160.7962,848.108,205,-0.406498585,39.47123075,723044.3264511883,4372351.839751724,2015-06-01 23:50:41,1433202641
v39463,2015-06-02,03:28:59,Sustraccion,Valencia,2015,6,22,153,2,Monday,3,-0.381311446,39.47438431,235.4386459,179.8907,30.3325,9.64578,581.6617,208.5501,656.4028,406.998,112.0718,14.9917,599.9541,190,-0.378669235,39.47713925,725250.0820837177,4372695.362503108,2015-06-02 03:28:59,1433215739
v39460,2015-06-02,19:22:04,Sustraccion,Valencia,2015,6,22,153,2,Monday,19,-0.38884449,39.47322083,416.6046542,118.0982,169.433,213.4725,130.1455,359.3811,149.8951,427.2652,275.4777,63.8715,324.7919,208,-0.389800975,39.47123075,724605.7743637585,4372547.397484663,2015-06-02 19:22:04,1433272924
v39470,2015-06-03,00:26:35,Sustraccion,Valencia,2015,6,22,154,3,Tuesday,0,-0.403907686,39.46828842,1887.988643,177.6432,750.9184,691.5238,1080.4771,286.2441,1292.6374,414.5438,606.1552,200.5346,952.6353,205,-0.406498585,39.47123075,723325.680465681,4371962.427982992,2015-06-03 00:26:35,1433291195
v39472,2015-06-03,03:36:59,Sustraccion,Valencia,2015,6,22,154,3,Tuesday,3,-0.384469092,39.49769974,803.5253984,373.0464,899.8185,1121.5916,1928.3814,1729.0165,1541.4123,1181.5326,1556.6066,494.1028,1390.6959,129,-0.384235105,39.49486475,724903.256636194,4375275.544697174,2015-06-03 03:36:59,1433302619
v39465,2015-06-03,10:15:18,Sustraccion,Valencia,2015,6,22,154,3,Tuesday,10,-0.330903053,39.4683075,139.1965549,573.9991,226.3196,136.933,12.8887,209.9527,734.3469,113.3627,200.3549,114.664,197.2615,219,-0.328576405,39.47123075,729606.6205718657,4372148.122460996,2015-06-03 10:15:18,1433326518
v39490,2015-06-04,01:06:07,Sustraccion,Valencia,2015,6,23,155,4,Wednesday,1,-0.399446249,39.45718765,1893.659182,350.2993,258.2019,575.4899,318.4051,911.9655,758.7396,1022.4136,244.3961,458.8457,238.5239,246,-0.400932715,39.45941375,723745.0921457494,4370741.291556702,2015-06-04 01:06:07,1433379967
v39495,2015-06-04,02:39:45,Sustraccion,Valencia,2015,6,23,155,4,Wednesday,2,-0.378510684,39.43240738,2796.748208,1246.9847,1247.9864,1658.2113,1400.1795,3008.7968,1711.3477,2059.0921,1457.1635,1323.0016,1265.0706,350,-0.378669235,39.42987125,725626.5933595215,4368042.835546036,2015-06-04 02:39:45,1433385585
v39489,2015-06-04,10:30:07,Sustraccion,Valencia,2015,6,23,155,4,Wednesday,10,-0.343970001,39.4741745,856.6285001,173.5016,24.4987,449.5789,853.1008,1220.1654,1612.7719,1431.6442,87.9318,17.287,686.7077,216,-0.345274015,39.47123075,728463.1866408287,4372766.145410806,2015-06-04 10:30:07,1433413807
v39492,2015-06-04,10:50:47,Sustraccion,Valencia,2015,6,23,155,4,Wednesday,10,-0.393554986,39.4303894,3251.580635,584.8633,506.2939,1679.4617,1566.4824,3640.7275,1940.5753,3205.8856,1376.451,1858.3804,586.868,347,-0.395366845,39.42987125,724338.0609500331,4367781.283494727,2015-06-04 10:50:47,1433415047
v39494,2015-06-04,11:49:46,Sustraccion,Valencia,2015,6,23,155,4,Wednesday,11,-0.379200011,39.46379852,384.7100152,283.203,269.6261,289.9545,419.5887,755.2388,202.2569,726.8777,372.5786,205.5528,341.8223,230,-0.378669235,39.46532225,725465.9145425353,4371525.5965379095,2015-06-04 11:49:46,1433418586
v39485,2015-06-04,20:31:07,Sustraccion,Valencia,2015,6,23,155,4,Wednesday,20,-0.386682242,39.48261261,630.8672809,724.9651,489.083,450.189,777.2809,978.2922,160.6796,948.4327,666.4509,255.9789,275.3127,169,-0.384235105,39.48304775,724761.5385716569,4373595.30422352,2015-06-04 20:31:07,1433449867
v39486,2015-06-04,21:26:19,Sustraccion,Valencia,2015,6,23,155,4,Wednesday,21,-0.38177976,39.48743057,370.555465,456.9403,420.6103,131.2813,1396.8783,829.6137,642.6028,323.8621,597.4933,307.8939,951.9601,149,-0.384235105,39.48895625,725167.6881249525,4374142.360970637,2015-06-04 21:26:19,1433453179
v39509,2015-06-05,13:52:11,Sustraccion,Valencia,2015,6,23,156,5,Thursday,13,-0.371565223,39.45606995,1011.850147,82.9501,252.1231,361.288,554.9081,560.1556,562.425,385.1236,627.913,357.2754,573.0172,271,-0.373103365,39.45350525,726147.8498697833,4370686.845142139,2015-06-05 13:52:11,1433512331
v39513,2015-06-05,19:09:33,Sustraccion,Valencia,2015,6,23,156,5,Thursday,19,-0.388940006,39.46426392,779.6258959,249.4838,399.4374,45.7899,97.2015,941.724,229.8603,169.5219,216.9696,66.6416,864.5789,228,-0.389800975,39.46532225,724626.3782915561,4371552.921009912,2015-06-05 19:09:33,1433531373
v39515,2015-06-05,22:32:02,Sustraccion,Valencia,2015,6,23,156,5,Thursday,22,-0.381559998,39.47325134,182.6314069,160.3517,144.6606,37.6839,486.4716,222.5368,586.2749,297.8218,153.1847,56.9111,643.2043,209,-0.384235105,39.47123075,725232.3559954361,4372568.978222093,2015-06-05 22:32:02,1433543522
v39524,2015-06-06,03:12:37,Sustraccion,Valencia,2015,6,23,157,6,Friday,3,-0.339562595,39.4783287,257.6648783,487.0198,584.378,310.0868,719.4503,1199.0273,1532.8746,1275.8345,670.9518,136.1154,941.2478,197,-0.339708145,39.47713925,728828.7276547328,4373238.466857618,2015-06-06 03:12:37,1433560357
v39537,2015-06-06,06:00:53,Sustraccion,Valencia,2015,6,23,157,6,Friday,6,-0.323755175,39.46443939,924.2879507,726.6398,95.2722,707.9348,332.1682,979.0667,863.0118,376.5984,482.8509,21.8852,139.0634,240,-0.323010535,39.46532225,730234.3540306322,4371736.996952801,2015-06-06 06:00:53,1433570453
v39522,2015-06-06,06:52:50,Sustraccion,Valencia,2015,6,23,157,6,Friday,6,-0.325520009,39.46986389,699.1304552,710.8558,285.8432,413.7281,17.1692,770.1446,309.7662,331.7022,539.9212,286.6167,418.1197,220,-0.323010535,39.47123075,730064.6271181775,4372334.625190464,2015-06-06 06:52:50,1433573570
v39526,2015-06-06,07:03:54,Sustraccion,Valencia,2015,6,23,157,6,Friday,7,-0.389954954,39.44939423,1424.953885,93.6118,500.2595,307.7187,298.2309,2085.6631,467.4125,1299.48,136.9284,172.2295,1386.5771,288,-0.389800975,39.44759675,724586.8679765227,4369899.822411888,2015-06-06 07:03:54,1433574234
v39540,2015-06-06,10:44:20,Sustraccion,Valencia,2015,6,23,157,6,Friday,10,-0.395837039,39.49106979,449.0521757,212.3554,19.8439,82.0545,1677.1525,2099.4273,1283.3428,1766.4375,395.3381,381.1241,425.7161,147,-0.395366845,39.48895625,723946.9126997695,4374511.25878774,2015-06-06 10:44:20,1433587460
v39531,2015-06-06,15:14:32,Sustraccion,Valencia,2015,6,23,157,6,Friday,15,-0.361986637,39.43033981,2248.532904,2380.3331,2302.052,2481.8338,740.0144,3273.94,2941.4625,2110.5601,2274.0877,148.9669,2472.0748,353,-0.361971625,39.42987125,727055.6983354681,4367854.826550723,2015-06-06 15:14:32,1433603672
v39549,2015-06-07,01:04:23,Sustraccion,Valencia,2015,6,23,158,7,Saturday,1,-0.362397671,39.45919418,880.909329,269.3741,42.2514,413.2276,353.08,894.4171,1040.7029,594.2131,639.806,88.1828,677.1834,253,-0.361971625,39.45941375,726926.571745484,4371056.69737422,2015-06-07 01:04:23,1433639063
v39554,2015-06-07,04:18:49,Sustraccion,Valencia,2015,6,23,158,7,Saturday,4,-0.377278537,39.47268295,262.060495,79.9854,28.783,33.2233,843.7258,227.403,886.6356,629.3792,135.2744,38.3401,291.5084,210,-0.378669235,39.47123075,725602.5247438935,4372516.602684312,2015-06-07 04:18:49,1433650729
v39559,2015-06-07,04:47:11,Sustraccion,Valencia,2015,6,23,158,7,Saturday,4,-0.374859989,39.4865303,614.118497,171.7031,172.6145,546.0676,718.3919,292.1109,191.1642,380.1758,336.9192,158.7935,919.4112,151,-0.373103365,39.48895625,725765.784340665,4374059.758762484,2015-06-07 04:47:11,1433652431
v39560,2015-06-07,09:54:11,Sustraccion,Valencia,2015,6,23,158,7,Saturday,9,-0.325619996,39.48222351,926.7408886,242.25,131.737,559.3649,99.4449,1597.1272,928.6565,908.4304,270.7203,20.3867,1499.5508,180,-0.323010535,39.48304775,730015.2820377544,4373706.331759222,2015-06-07 09:54:11,1433670851
v39566,2015-06-07,10:06:52,Sustraccion,Valencia,2015,6,23,158,7,Saturday,10,-0.371217519,39.46163559,875.2316135,54.6456,218.7401,119.0196,419.898,12.7475,130.2484,621.433,176.1498,65.0944,730.6213,251,-0.373103365,39.45941375,726159.743230001,4371305.518168584,2015-06-07 10:06:52,1433671612
v39575,2015-06-07,17:25:20,Sustraccion,Valencia,2015,6,23,158,7,Saturday,17,-0.346354991,39.4706192,503.8518098,84.2292,20.9461,100.9625,773.9419,882.1896,1486.4333,1591.8023,236.1803,159.6171,539.4226,216,-0.345274015,39.47123075,728269.6369423007,4372365.44760625,2015-06-07 17:25:20,1433697920
v39562,2015-06-07,21:11:14,Sustraccion,Valencia,2015,6,23,158,7,Saturday,21,-0.329640001,39.4738884,629.206736,295.6384,334.2462,355.9559,66.5309,673.9756,452.9131,372.0834,717.3965,210.4711,628.9954,219,-0.328576405,39.47123075,729696.9212324155,4372770.842442732,2015-06-07 21:11:14,1433711474
v39577,2015-06-07,22:24:35,Sustraccion,Valencia,2015,6,23,158,7,Saturday,22,-0.375405014,39.49750519,428.0569136,192.0,1165.0716,466.0732,1218.5247,1389.5692,1260.6565,783.3224,951.1259,731.0726,527.8744,131,-0.373103365,39.49486475,725683.3896081656,4375276.63733103,2015-06-07 22:24:35,1433715875
v39595,2015-06-08,04:33:55,Sustraccion,Valencia,2015,6,23,159,1,Sunday,4,-0.371000201,39.45050812,1381.692475,199.5382,92.976,851.6418,409.7299,1117.5145,1120.7973,248.6038,1158.7739,62.4938,597.5457,291,-0.373103365,39.44759675,726214.4842373522,4370070.88699683,2015-06-08 04:33:55,1433738035
v39594,2015-06-08,14:03:51,Sustraccion,Valencia,2015,6,23,159,1,Sunday,14,-0.362974226,39.47557831,762.1256826,41.8961,352.4178,142.0957,231.1083,1303.0995,587.819,216.0021,347.6659,52.0509,1092.1268,193,-0.361971625,39.47713925,726823.717202285,4372873.929305008,2015-06-08 14:03:51,1433772231
v39582,2015-06-08,17:03:43,Sustraccion,Valencia,2015,6,23,159,1,Sunday,17,-0.371756107,39.46939468,182.3127353,160.1874,124.5459,204.1683,681.5386,708.4862,487.0739,899.4717,435.9512,84.2269,18.73,211,-0.373103365,39.47123075,726088.2713585254,4372165.445299751,2015-06-08 17:03:43,1433783023
v39593,2015-06-08,20:53:47,Sustraccion,Valencia,2015,6,23,159,1,Sunday,20,-0.347984999,39.46712112,287.906436,144.2309,238.147,234.2797,442.8066,605.9055,1413.6459,1707.8019,325.2272,230.6797,614.9056,236,-0.345274015,39.46532225,728140.8352116803,4371973.019533898,2015-06-08 20:53:47,1433796827
v39587,2015-06-08,22:04:25,Sustraccion,Valencia,2015,6,23,159,1,Sunday,22,-0.339545012,39.46789551,536.9230299,28.3677,582.7147,560.1475,516.7332,602.4946,847.5506,917.6236,717.0188,194.2437,232.6926,237,-0.339708145,39.46532225,728864.4510646954,4372080.393148959,2015-06-08 22:04:25,1433801065
v39590,2015-06-08,22:10:39,Sustraccion,Valencia,2015,6,23,159,1,Sunday,22,-0.395435005,39.49974442,574.4263729,689.2004,720.3789,913.1588,2495.3255,2649.0552,2008.8786,2087.6625,895.0942,745.9924,1044.9121,107,-0.395366845,39.50077325,723953.6314319246,4375475.166085262,2015-06-08 22:10:39,1433801439
