crime_id,crime_date,crime_time,crime_type,muni,year,month,week,day,week_day,week_day_name,crime_hour,crime_lon,crime_lat,atm_dist,bank_dist,bar_dist,cafe_dist,industrial_dist,market_dist,nightclub_dist,police_dist,pub_dist,restaurant_dist,taxi_dist,grid_id,grid_lon,grid_lat,utm_x,utm_y,datetime,timestamp
v40110,2015-07-01,23:10:04,Otros,Valencia,2015,7,26,182,3,Tuesday,23,-0.390850008,39.49209976,322.8954538,283.3474,185.4241,455.0855,1668.2742,1849.7636,1132.4322,1314.7308,885.9553,214.8784,934.7879,128,-0.389800975,39.49486475,724372.5198904006,4374638.00670127,2015-07-01 23:10:04,1435792204
v40114,2015-07-02,19:52:40,Otros,Valencia,2015,7,27,183,4,Wednesday,19,-0.385670006,39.4822998,692.5960286,802.0284,516.3466,400.4173,794.9871,937.5373,215.2202,881.1281,596.9461,293.6357,310.6792,169,-0.384235105,39.48304775,724849.6169242188,4373563.108910774,2015-07-02 19:52:40,1435866760
v40123,2015-07-02,21:20:56,Otros,Valencia,2015,7,27,183,4,Wednesday,21,-0.371260047,39.45760345,987.5193114,186.939,325.5938,212.4359,592.1304,407.597,420.2411,369.5821,473.5822,227.0817,689.7858,251,-0.373103365,39.45941375,726169.1438479968,4370857.833623717,2015-07-02 21:20:56,1435872056
v40136,2015-07-03,01:54:53,Otros,Valencia,2015,7,27,184,5,Thursday,1,-0.355740011,39.49020386,1636.356516,320.762,508.6291,289.5899,400.924,1953.6635,2081.5068,384.7952,278.9783,142.8615,1581.1575,154,-0.356405755,39.48895625,727398.3781831653,4374515.659183908,2015-07-03 01:54:53,1435888493
v40145,2015-07-03,22:20:10,Otros,Valencia,2015,7,27,184,5,Thursday,22,-0.369284987,39.49631119,263.0710529,252.5173,1096.7347,176.4568,834.3082,1358.8275,1316.8602,724.9341,797.8609,905.8597,217.8847,132,-0.367537495,39.49486475,726213.5823204109,4375159.463066041,2015-07-03 22:20:10,1435962010
v40172,2015-07-04,01:12:07,Otros,Valencia,2015,7,27,185,6,Friday,1,-0.393016726,39.49465561,104.2766081,184.9888,157.028,456.8448,1948.1801,2163.0991,1446.1065,1615.665,724.354,472.7555,822.7313,127,-0.395366845,39.49486475,724177.953724057,4374916.314465483,2015-07-04 01:12:07,1435972327
v40166,2015-07-04,04:18:26,Otros,Valencia,2015,7,27,185,6,Friday,4,-0.349100024,39.47478104,689.7448893,198.1513,291.0014,31.6317,973.4606,989.9364,1895.3245,1474.3469,313.243,29.5852,1017.0473,195,-0.350839885,39.47713925,728019.8757346057,4372820.470388971,2015-07-04 04:18:26,1435983506
v40175,2015-07-04,16:17:44,Otros,Valencia,2015,7,27,185,6,Friday,16,-0.37970528,39.49323654,668.9539338,11.2803,784.0634,607.1377,1299.9683,1096.1447,916.9953,587.4079,914.4691,196.4241,897.905,130,-0.378669235,39.49486475,725327.361014825,4374792.030887345,2015-07-04 16:17:44,1436026664
v40154,2015-07-04,20:17:04,Otros,Valencia,2015,7,27,185,6,Friday,20,-0.372188032,39.45682907,924.6169676,74.1286,222.7647,289.1028,490.9862,488.8477,479.5021,446.441,542.4337,277.2216,568.9889,251,-0.373103365,39.45941375,726091.7990070814,4370769.546026985,2015-07-04 20:17:04,1436041024
v40186,2015-07-05,11:51:26,Otros,Valencia,2015,7,27,186,7,Saturday,11,-0.355854988,39.48527145,1459.924751,365.3013,356.1352,67.0968,373.7307,1835.2528,1765.017,812.5396,77.5641,94.1126,1778.5421,174,-0.356405755,39.48304775,727404.568405187,4373967.855322122,2015-07-05 11:51:26,1436097086
v40209,2015-07-05,21:44:15,Otros,Valencia,2015,7,27,186,7,Saturday,21,-0.369284987,39.49631119,263.0710529,252.5173,1096.7347,176.4568,834.3082,1358.8275,1316.8602,724.9341,797.8609,905.8597,217.8847,132,-0.367537495,39.49486475,726213.5823204109,4375159.463066041,2015-07-05 21:44:15,1436132655
v40215,2015-07-06,20:40:50,Otros,Valencia,2015,7,27,187,1,Sunday,20,-0.376639992,39.45602417,592.9322551,341.6917,235.6166,348.7694,71.1872,762.4505,661.8227,891.5345,499.3294,127.9786,300.6958,270,-0.378669235,39.45350525,725711.310574169,4370669.03609301,2015-07-06 20:40:50,1436215250
v40247,2015-07-07,00:38:41,Otros,Valencia,2015,7,27,188,2,Monday,0,-0.365899175,39.47317505,387.0986512,209.844,363.2046,80.251,432.4925,1219.4576,215.6231,214.3297,490.7465,186.0523,714.9722,212,-0.367537495,39.47123075,726579.8958482249,4372599.796877448,2015-07-07 00:38:41,1436229521
v40255,2015-07-07,22:23:09,Otros,Valencia,2015,7,27,188,2,Monday,22,-0.370994955,39.49798965,276.4775019,265.6511,1212.5881,204.112,1043.7954,1471.1093,1396.1217,816.683,929.7008,1022.9253,318.0989,111,-0.373103365,39.50077325,726061.0819648925,4375341.481132242,2015-07-07 22:23:09,1436307789
v40250,2015-07-07,22:46:18,Otros,Valencia,2015,7,27,188,2,Monday,22,-0.376326472,39.45858002,475.3872062,254.5184,261.1022,121.917,214.6222,571.2097,418.9009,884.095,246.8575,136.4918,518.9984,250,-0.378669235,39.45941375,725730.0273153634,4370953.527195998,2015-07-07 22:46:18,1436309178
v40259,2015-07-08,20:33:31,Otros,Valencia,2015,7,27,189,3,Tuesday,20,-0.391144991,39.46173859,1048.192332,373.8607,693.9448,379.1981,243.0304,1264.2072,399.0435,254.8601,327.3806,204.7815,897.9141,248,-0.389800975,39.45941375,724444.778642962,4371267.10699537,2015-07-08 20:33:31,1436387611
v40262,2015-07-08,22:58:15,Otros,Valencia,2015,7,27,189,3,Tuesday,22,-0.424582094,39.50073242,2143.714059,541.9612,459.7457,778.9819,4278.4607,4118.0798,4183.1158,3161.2945,2640.3984,51.9367,2664.7687,102,-0.423196195,39.50077325,721443.9528865947,4375512.716137063,2015-07-08 22:58:15,1436396295
v40271,2015-07-09,02:46:52,Otros,Valencia,2015,7,28,190,4,Wednesday,2,-0.363965005,39.46470642,703.1820867,165.0829,291.6777,34.3356,160.059,748.5345,861.3804,887.5318,170.7698,61.2939,689.0968,233,-0.361971625,39.46532225,726773.8030400326,4371664.623593343,2015-07-09 02:46:52,1436410012
v40307,2015-07-10,01:12:54,Otros,Valencia,2015,7,28,191,5,Thursday,1,-0.362600446,39.47108459,583.3653115,411.429,381.2442,351.6115,281.0751,993.8284,545.2272,276.6466,239.8902,309.7187,931.5458,213,-0.361971625,39.47123075,726870.4795057747,4372376.054988835,2015-07-10 01:12:54,1436490774
v40294,2015-07-10,01:44:53,Otros,Valencia,2015,7,28,191,5,Thursday,1,-0.355850399,39.46569443,567.0640126,164.7095,154.9694,119.5579,115.1729,193.9844,1377.416,1119.3415,469.7132,124.7698,255.7148,234,-0.356405755,39.46532225,727468.7660430111,4371794.758155853,2015-07-10 01:44:53,1436492693
v40306,2015-07-10,14:23:46,Otros,Valencia,2015,7,28,191,5,Thursday,14,-0.366914988,39.46575928,466.3282768,177.512,386.3695,101.6948,251.5591,552.8516,668.2891,842.0372,234.8865,15.447,606.5576,232,-0.367537495,39.46532225,726516.5699277255,4371774.070536613,2015-07-10 14:23:46,1436538226
v40320,2015-07-10,22:41:40,Otros,Valencia,2015,7,28,191,5,Thursday,22,-0.375937492,39.4935379,457.6906041,198.5333,795.888,548.3879,984.3878,1001.102,863.0965,457.5416,637.9535,487.4005,522.9499,130,-0.378669235,39.49486475,725650.4335391931,4374834.921226199,2015-07-10 22:41:40,1436568100
v40317,2015-07-10,23:03:15,Otros,Valencia,2015,7,28,191,5,Thursday,23,-0.39329499,39.45201874,1501.086438,383.593,215.9769,186.9408,241.1876,1673.1907,447.6689,1139.9573,177.6882,291.5527,997.5905,267,-0.395366845,39.45350525,724291.0012463033,4370182.828005353,2015-07-10 23:03:15,1436569395
v40329,2015-07-11,03:43:48,Otros,Valencia,2015,7,28,192,6,Friday,3,-0.377419919,39.45272827,826.2794126,154.4219,437.0316,423.9594,386.0442,1071.5404,862.4451,920.0672,831.7912,237.8995,104.3487,270,-0.378669235,39.45350525,725654.8463169395,4370301.229598481,2015-07-11 03:43:48,1436586228
v40338,2015-07-11,10:44:53,Otros,Valencia,2015,7,28,192,6,Friday,10,-0.406010002,39.47205353,1922.701961,397.4521,913.1348,517.372,1352.1122,710.639,1556.8494,619.0386,702.4739,264.7859,770.2051,205,-0.406498585,39.47123075,723132.771131404,4372375.15219705,2015-07-11 10:44:53,1436611493
v40327,2015-07-11,21:06:00,Otros,Valencia,2015,7,28,192,6,Friday,21,-0.38273257,39.48723602,302.596077,434.3684,326.0498,224.7965,1369.3965,907.5659,724.7044,419.8102,666.7233,296.7086,877.7736,149,-0.384235105,39.48895625,725086.3629378609,4374118.382688724,2015-07-11 21:06:00,1436648760
v40366,2015-07-12,00:15:00,Otros,Valencia,2015,7,28,193,7,Saturday,0,-0.371924996,39.45314407,1136.28343,138.2569,163.039,653.9525,620.1606,853.6975,848.9393,436.9864,904.7189,149.0026,449.6173,271,-0.373103365,39.45350525,726126.3645087741,4370361.162186685,2015-07-12 00:15:00,1436660100
v40376,2015-07-12,19:24:11,Otros,Valencia,2015,7,28,193,7,Saturday,19,-0.347566813,39.46735382,321.6849289,113.8028,255.8149,273.2809,490.4204,651.0884,1388.407,1719.7751,363.3821,190.1401,571.6096,236,-0.345274015,39.46532225,728176.0542060465,4371999.909357951,2015-07-12 19:24:11,1436729051
v40391,2015-07-13,20:14:17,Otros,Valencia,2015,7,28,194,1,Sunday,20,-0.375474989,39.49698639,410.4605342,168.8672,1115.5821,458.2158,1182.875,1338.3766,1208.5644,736.5695,906.2973,699.0091,509.6992,131,-0.373103365,39.49486475,725679.0508076942,4375218.873502266,2015-07-13 20:14:17,1436818457
v40385,2015-07-13,23:10:14,Otros,Valencia,2015,7,28,194,1,Sunday,23,-0.402728766,39.47144699,1748.918262,175.9914,924.6213,494.9966,1021.6425,597.1445,1224.6017,495.9058,871.8783,37.8958,700.9144,206,-0.400932715,39.47123075,723416.9991160651,4372315.960038518,2015-07-13 23:10:14,1436829014
v40419,2015-07-14,19:21:04,Otros,Valencia,2015,7,28,195,2,Monday,19,-0.385295242,39.49089813,172.0772456,124.7555,351.3069,605.8367,1606.2359,1309.0509,989.5282,756.9951,1088.4105,300.8386,1106.2518,149,-0.384235105,39.48895625,724854.1368997265,4374518.482775728,2015-07-14 19:21:04,1436901664
v40464,2015-07-16,18:10:57,Otros,Valencia,2015,7,29,197,4,Wednesday,18,-0.385250002,39.4917984,261.0280579,120.552,440.6664,661.1505,1694.1561,1357.3705,1078.3273,797.8852,1145.1117,269.2372,1194.9127,149,-0.384235105,39.48895625,724855.1255354688,4374618.528249653,2015-07-16 18:10:57,1437070257
v40462,2015-07-16,19:15:35,Otros,Valencia,2015,7,29,197,4,Wednesday,19,-0.336650014,39.46794128,254.972711,257.7852,360.1448,626.7713,238.8288,313.0609,759.3886,632.4919,432.3816,141.9636,278.405,238,-0.334142275,39.46532225,729113.3764821964,4372092.834666216,2015-07-16 19:15:35,1437074135
v40458,2015-07-16,20:27:49,Otros,Valencia,2015,7,29,197,4,Wednesday,20,-0.383585662,39.49345779,450.1476276,73.766,646.6139,697.0179,1669.3064,1344.243,1151.7186,782.2448,1163.1233,159.3285,1279.207,129,-0.384235105,39.49486475,724992.916254991,4374806.883928376,2015-07-16 20:27:49,1437078469
v40456,2015-07-16,20:45:52,Otros,Valencia,2015,7,29,197,4,Wednesday,20,-0.401775777,39.4585495,2077.397044,309.6621,181.3572,656.6531,539.2521,708.9697,1012.0515,903.9397,212.9419,478.4779,209.7919,246,-0.400932715,39.45941375,723540.2792383293,4370886.676270384,2015-07-16 20:45:52,1437079552
v40495,2015-07-17,18:34:33,Otros,Valencia,2015,7,29,198,5,Thursday,18,-0.363785863,39.49624634,799.0534029,511.7581,1064.1666,637.4041,886.5112,1632.6568,1657.1061,622.081,687.4723,477.1714,722.3516,133,-0.361971625,39.49486475,726686.7237197579,4375166.099758062,2015-07-17 18:34:33,1437158073
v40488,2015-07-17,19:06:54,Otros,Valencia,2015,7,29,198,5,Thursday,19,-0.386786431,39.49612045,538.1858331,370.4361,620.763,1001.3918,2064.3323,1758.138,1487.5621,1194.3838,1359.8869,403.6866,1444.5791,129,-0.384235105,39.49486475,724709.0565606505,4375094.451124311,2015-07-17 19:06:54,1437160014
v40519,2015-07-18,22:45:32,Otros,Valencia,2015,7,29,199,6,Friday,22,-0.328568041,39.47807693,549.0887908,63.0315,532.1007,171.8224,84.236,1094.0264,613.2119,556.1647,285.1542,131.5936,1017.9485,199,-0.328576405,39.47713925,729775.3491933816,4373238.51895743,2015-07-18 22:45:32,1437259532
v40531,2015-07-19,13:48:05,Otros,Valencia,2015,7,29,200,7,Saturday,13,-0.403930008,39.46821976,1891.238982,184.4465,745.8904,696.7007,1082.5564,280.0818,1294.7212,415.3211,601.4811,204.6739,947.3194,225,-0.406498585,39.46532225,723323.9796460232,4371954.751227529,2015-07-19 13:48:05,1437313685
v40547,2015-07-19,16:06:10,Otros,Valencia,2015,7,29,200,7,Saturday,16,-0.403930008,39.46821976,1891.238982,184.4465,745.8904,696.7007,1082.5564,280.0818,1294.7212,415.3211,601.4811,204.6739,947.3194,225,-0.406498585,39.46532225,723323.9796460232,4371954.751227529,2015-07-19 16:06:10,1437321970
v40521,2015-07-19,21:29:11,Otros,Valencia,2015,7,29,200,7,Saturday,21,-0.367306054,39.45021439,1053.855888,541.2554,424.0078,927.7409,175.7279,1218.0369,1253.4047,122.5755,1198.445,195.456,953.7187,292,-0.367537495,39.44759675,726533.3462761923,4370047.564186963,2015-07-19 21:29:11,1437341351
v40555,2015-07-20,14:23:48,Otros,Valencia,2015,7,29,201,1,Sunday,14,-0.376145005,39.4618187,486.7786468,211.979,82.6501,37.7568,194.9923,432.0206,163.0749,995.5914,62.176,53.4252,507.8043,250,-0.378669235,39.45941375,725735.1715887466,4371313.483396417,2015-07-20 14:23:48,1437402228
v40567,2015-07-20,21:25:44,Otros,Valencia,2015,7,29,201,1,Sunday,21,-0.390289992,39.44591522,1723.931445,233.9333,833.2305,295.7521,369.1467,2345.9121,525.4745,1648.8833,97.6977,322.9931,1037.3969,288,-0.389800975,39.44759675,724569.2187981721,4369512.810155921,2015-07-20 21:25:44,1437427544
v40570,2015-07-20,23:09:25,Otros,Valencia,2015,7,29,201,1,Sunday,23,-0.399586946,39.47851944,1020.334245,164.1027,352.6063,196.5897,1033.6814,1352.4685,1089.4939,1062.5797,452.0927,210.9666,201.2696,186,-0.400932715,39.47713925,723664.6266237849,4373108.817222016,2015-07-20 23:09:25,1437433765
v40586,2015-07-21,11:19:11,Otros,Valencia,2015,7,29,202,2,Monday,11,-0.402280003,39.46114349,1974.737858,560.0345,192.1725,620.616,789.301,444.7498,1145.1767,671.2287,283.1147,424.3084,277.1409,246,-0.400932715,39.45941375,723488.5894678931,4371173.363238631,2015-07-21 11:19:11,1437477551
