crime_id,crime_date,crime_time,crime_type,muni,year,month,week,day,week_day,week_day_name,crime_hour,crime_lon,crime_lat,atm_dist,bank_dist,bar_dist,cafe_dist,industrial_dist,market_dist,nightclub_dist,police_dist,pub_dist,restaurant_dist,taxi_dist,grid_id,grid_lon,grid_lat,utm_x,utm_y,datetime,timestamp
v41578,2015-09-01,03:35:43,Agresion,Valencia,2015,9,35,244,2,Monday,3,-0.336495012,39.46286392,636.0671932,147.9715,310.6274,154.7563,29.531,194.1697,261.7307,768.4026,580.6376,118.5229,718.153,238,-0.334142275,39.46532225,729143.3775665729,4371529.62566885,2015-09-01 03:35:43,1441078543
v41577,2015-09-01,10:44:52,Agresion,Valencia,2015,9,35,244,2,Monday,10,-0.366739988,39.46654892,398.8555022,100.111,305.5359,88.4992,230.2061,619.6136,593.4694,762.3214,177.3452,22.162,580.2443,232,-0.367537495,39.46532225,726529.0643528022,4371862.162860457,2015-09-01 10:44:52,1441104292
v41579,2015-09-01,11:09:27,Agresion,Valencia,2015,9,35,244,2,Monday,11,-0.335622966,39.45980072,889.4128943,98.3141,17.4427,36.7484,44.7802,191.4244,63.5877,765.0239,788.3749,159.7526,1001.6657,258,-0.334142275,39.45941375,729228.4675044507,4371191.819641667,2015-09-01 11:09:27,1441105767
v41580,2015-09-01,11:31:05,Sustraccion,Valencia,2015,9,35,244,2,Monday,11,-0.420145005,39.5007782,1718.494583,130.05,186.3383,359.9884,3911.8159,3910.9914,3798.356,3025.1606,2229.1772,148.2388,2264.7368,103,-0.417630325,39.50077325,721825.3741914738,4375528.724354258,2015-09-01 11:31:05,1441107065
v41588,2015-09-01,13:46:45,Sustraccion,Valencia,2015,9,35,244,2,Monday,13,-0.384223461,39.47468185,369.74496,273.8946,119.3929,106.9381,463.1187,203.3816,448.369,396.3175,122.4669,70.6945,659.5993,189,-0.384235105,39.47713925,724998.6081626175,4372721.110186716,2015-09-01 13:46:45,1441115205
v41583,2015-09-01,14:38:57,Sustraccion,Valencia,2015,9,35,244,2,Monday,14,-0.402369112,39.48598099,850.7122276,474.4682,262.0818,501.4122,1645.9599,2050.0991,1554.481,1751.3335,517.5263,320.1332,496.4268,166,-0.400932715,39.48304775,723401.4048952897,4373930.159687004,2015-09-01 14:38:57,1441118337
v41582,2015-09-01,15:26:25,Sustraccion,Valencia,2015,9,35,244,2,Monday,15,-0.399576992,39.47851944,1019.782135,164.218,351.6252,196.2072,1032.7307,1352.7361,1088.6449,1062.4004,452.9373,211.9601,202.2621,186,-0.400932715,39.47713925,723665.4828928957,4373108.841947467,2015-09-01 15:26:25,1441121185
v41584,2015-09-01,18:10:51,Otros,Valencia,2015,9,35,244,2,Monday,18,-0.344946623,39.46588516,615.7316806,224.7403,266.9038,234.5697,713.1282,902.5093,1088.0586,1487.2024,502.9953,73.6563,355.2566,236,-0.345274015,39.46532225,728406.2931185388,4371843.525230843,2015-09-01 18:10:51,1441131051
v41589,2015-09-01,19:50:20,Sustraccion,Valencia,2015,9,35,244,2,Monday,19,-0.390596002,39.43270111,2928.25671,273.9109,267.4565,1466.5424,1235.6124,3468.822,1616.5397,2830.4184,1067.3168,1619.9348,285.5953,348,-0.389800975,39.42987125,724585.3486726085,4368045.256266919,2015-09-01 19:50:20,1441137020
v41587,2015-09-01,21:12:32,Agresion,Valencia,2015,9,35,244,2,Monday,21,-0.385230005,39.47430038,317.2804604,170.1036,113.4285,168.4161,411.5,136.7459,359.3233,374.7162,228.6905,175.182,643.5127,189,-0.384235105,39.47713925,724913.247021911,4372676.25158565,2015-09-01 21:12:32,1441141952
