crime_id,crime_date,crime_time,crime_type,muni,year,month,week,day,week_day,week_day_name,crime_hour,crime_lon,crime_lat,atm_dist,bank_dist,bar_dist,cafe_dist,industrial_dist,market_dist,nightclub_dist,police_dist,pub_dist,restaurant_dist,taxi_dist,grid_id,grid_lon,grid_lat,utm_x,utm_y,datetime,timestamp
v62221,2018-01-04,23:36:39,AlarmasMujer,Valencia,2018,1,1,4,4,Wednesday,23,-0.355002999,39.47658157,953.4297441,343.6744,524.689,283.1389,720.0505,1047.1893,1356.6695,928.9742,223.8759,115.3961,1325.2009,194,-0.356405755,39.47713925,727506.185447174,4373005.40378871,2018-01-04 23:36:39,1515108999
v62250,2018-01-05,00:30:47,AlarmasMujer,Valencia,2018,1,1,5,5,Thursday,0,-0.392200798,39.45647812,1205.29197,389.0075,242.8791,96.1774,110.9516,1423.3662,35.0535,697.195,161.3728,193.114,823.9037,248,-0.389800975,39.45941375,724370.8356087566,4370680.553131773,2018-01-05 00:30:47,1515112247
v62433,2018-01-13,17:58:39,AlarmasMujer,Valencia,2018,1,2,13,6,Friday,17,-0.392586619,39.46562195,917.8685407,201.9128,502.7034,418.9167,182.0168,1034.9056,284.6763,490.4094,327.9893,76.1427,823.5878,227,-0.395366845,39.46532225,724308.2591652079,4371694.577427792,2018-01-13 17:58:39,1515866319
v62522,2018-01-17,22:21:18,AlarmasMujer,Valencia,2018,1,3,17,3,Tuesday,22,-0.38965556,39.46154022,897.9381263,260.3595,578.1765,306.5304,220.9608,1221.081,319.4739,138.6202,190.5913,141.6814,861.5422,248,-0.389800975,39.45941375,724573.5724636352,4371248.799843013,2018-01-17 22:21:18,1516227678
v62570,2018-01-19,17:13:16,AlarmasMujer,Valencia,2018,1,3,19,5,Thursday,17,-0.392450094,39.4352951,2758.610579,184.9694,72.8863,1188.9815,1087.0606,3205.8246,1452.2034,2730.4066,879.403,1360.1381,170.5271,328,-0.389800975,39.43577975,724417.4203924527,4368328.575425766,2018-01-19 17:13:16,1516381996
v62747,2018-01-26,12:49:13,AlarmasMujer,Valencia,2018,1,4,26,5,Thursday,12,-0.386730283,39.47843933,746.1561087,412.398,339.6184,136.9581,421.9976,569.8389,294.3933,797.2058,356.7235,62.2907,207.924,189,-0.384235105,39.47713925,724770.849531127,4373131.939417105,2018-01-26 12:49:13,1516970953
v62842,2018-01-30,19:03:44,AlarmasMujer,Valencia,2018,1,5,30,2,Monday,19,-0.380777299,39.49041748,443.144087,272.9167,567.5814,321.5421,1318.561,930.3683,737.8736,369.2431,755.483,255.2059,1084.2112,150,-0.378669235,39.48895625,725244.2662698044,4374476.42418867,2018-01-30 19:03:44,1517339024
v62971,2018-02-04,02:43:17,AlarmasMujer,Valencia,2018,2,5,35,7,Saturday,2,-0.396633685,39.49477386,457.5911858,295.5339,295.3374,441.2645,2051.9869,2462.3581,1627.5162,1950.7527,422.2152,419.3327,557.053,127,-0.395366845,39.49486475,723866.5057202302,4374920.438649079,2018-02-04 02:43:17,1517712197
v63037,2018-02-08,10:36:04,AlarmasMujer,Valencia,2018,2,6,39,4,Wednesday,10,-0.383076102,39.49135208,291.4022902,103.0266,486.4616,488.1341,1562.576,1160.6343,966.7773,596.3568,964.1791,98.9595,1220.1845,149,-0.384235105,39.48895625,725043.5349680065,4374574.417945791,2018-02-08 10:36:04,1518086164
v63161,2018-02-14,01:20:17,AlarmasMujer,Valencia,2018,2,7,45,3,Tuesday,1,-0.381280303,39.49037933,393.8705836,242.54,554.0902,326.2428,1367.3393,962.8856,769.5237,398.9177,778.9155,225.412,1131.8682,150,-0.378669235,39.48895625,725201.1269931139,4374470.930950443,2018-02-14 01:20:17,1518571217
