crime_id,crime_date,crime_time,crime_type,muni,year,month,week,day,week_day,week_day_name,crime_hour,crime_lon,crime_lat,atm_dist,bank_dist,bar_dist,cafe_dist,industrial_dist,market_dist,nightclub_dist,police_dist,pub_dist,restaurant_dist,taxi_dist,grid_id,grid_lon,grid_lat,utm_x,utm_y,datetime,timestamp
v73214,2019-01-01,13:49:23,AlarmasMujer,Valencia,2019,1,1,1,2,Monday,13,-0.357701421,39.47098923,758.2530948,342.6878,84.6445,349.6812,443.195,610.3603,1029.0738,662.1044,367.3127,27.073,749.8066,214,-0.356405755,39.47123075,727292.2645217614,4372377.823018156,2019-01-01 13:49:23,1546350563
v73310,2019-01-03,16:50:38,AlarmasMujer,Valencia,2019,1,1,3,4,Wednesday,16,-0.39208892,39.46797562,753.7137702,39.0477,311.4187,435.2605,70.7956,843.6984,110.382,385.3762,127.2202,85.9898,586.3847,228,-0.389800975,39.46532225,724343.516448145,4371957.079793373,2019-01-03 16:50:38,1546534238
v73332,2019-01-04,11:57:45,AlarmasMujer,Valencia,2019,1,1,4,5,Thursday,11,-0.387543738,39.48389053,488.5567896,697.1715,388.8784,377.812,870.9707,1119.2243,262.5763,969.1062,819.7331,277.0014,375.8972,168,-0.389800975,39.48304775,724683.3191416966,4373735.006414408,2019-01-04 11:57:45,1546603065
v73533,2019-01-13,18:50:50,AlarmasMujer,Valencia,2019,1,2,13,7,Saturday,18,-0.375887126,39.48632813,683.9353186,264.379,191.0668,468.2407,823.074,306.8137,142.1034,289.3091,265.8026,191.702,985.8088,150,-0.378669235,39.48895625,725678.0912000432,4374034.741999172,2019-01-13 18:50:50,1547405450
v74085,2019-02-04,04:24:43,AlarmasMujer,Valencia,2019,2,5,35,1,Sunday,4,-0.366103411,39.48577118,521.6798707,277.4435,33.0088,286.9487,259.9571,831.3312,980.463,808.9885,184.1633,103.3337,1021.7647,172,-0.367537495,39.48304775,726521.4297962474,4373997.490287648,2019-02-04 04:24:43,1549254283
v74094,2019-02-04,15:31:29,AlarmasMujer,Valencia,2019,2,5,35,1,Sunday,15,-0.379003018,39.49584961,729.9282465,177.8693,1027.2907,799.1731,1368.0588,1304.3778,1138.2125,836.6053,1016.6691,341.4252,820.3592,130,-0.378669235,39.49486475,725379.3139423882,4375083.847487485,2019-02-04 15:31:29,1549294289
v74494,2019-02-22,19:22:06,AlarmasMujer,Valencia,2019,2,8,53,5,Thursday,19,-0.34018445,39.46469498,722.1216676,314.4698,280.2231,265.5319,391.9483,602.2978,631.1236,1076.2272,781.0749,283.7123,338.7528,237,-0.339708145,39.46532225,728819.9266551506,4371723.499388595,2019-02-22 19:22:06,1550863326
v74538,2019-02-23,20:26:32,AlarmasMujer,Valencia,2019,2,8,54,6,Friday,20,-0.368124068,39.45269394,1116.508968,441.3218,353.1566,669.81,428.4331,956.9424,994.3086,231.7341,940.3821,125.8618,830.2147,272,-0.367537495,39.45350525,726454.9103141903,4370320.743882944,2019-02-23 20:26:32,1550953592
v74648,2019-02-26,05:49:49,AlarmasMujer,Valencia,2019,2,9,57,2,Monday,5,-0.365639031,39.46782684,360.8769008,68.0202,181.4652,116.4563,189.3624,787.9762,507.3688,604.1713,93.9862,54.7396,639.664,232,-0.367537495,39.46532225,726619.6396596802,4372006.785191246,2019-02-26 05:49:49,1551160189
v75027,2019-03-10,01:09:08,AlarmasMujer,Valencia,2019,3,10,69,7,Saturday,1,-0.37038666,39.45391464,1217.649523,291.2269,264.4613,558.514,619.2376,783.8616,798.8046,369.3563,813.2047,148.8633,609.8138,271,-0.373103365,39.45350525,726256.2486219383,4370450.559709244,2019-03-10 01:09:08,1552180148
v75036,2019-03-10,13:58:47,AlarmasMujer,Valencia,2019,3,10,69,7,Saturday,13,-0.379660338,39.49697113,810.6961213,242.3866,1142.781,870.8677,1487.3741,1432.6831,1264.5388,955.7941,1142.6652,384.8693,905.6258,130,-0.378669235,39.49486475,725319.1596931091,4375206.693818348,2019-03-10 13:58:47,1552226327
v75332,2019-03-18,13:56:32,AlarmasMujer,Valencia,2019,3,11,77,1,Sunday,13,-0.39014858,39.44601059,1708.181301,219.9361,825.9171,304.8431,356.2878,2345.8084,508.6958,1637.7988,84.4158,320.4251,1047.6599,288,-0.389800975,39.44759675,724581.0825515112,4369523.748868668,2019-03-18 13:56:32,1552917392
v75436,2019-03-22,12:18:32,AlarmasMujer,Valencia,2019,3,12,81,5,Thursday,12,-0.357472092,39.48360062,1276.800389,215.4744,222.7261,4.2732,361.2709,1666.0716,1532.5375,943.4451,53.2491,40.3644,1746.5968,174,-0.356405755,39.48304775,727270.9165025244,4373778.304486737,2019-03-22 12:18:32,1553257112
v75478,2019-03-23,16:14:10,AlarmasMujer,Valencia,2019,3,12,82,6,Friday,16,-0.398767561,39.46417236,1520.863697,684.2434,302.7878,350.1947,684.156,464.104,866.2019,341.0115,472.7791,140.6968,471.3203,226,-0.400932715,39.46532225,723781.1060793266,4371518.29480548,2019-03-23 16:14:10,1553357650
v75535,2019-03-26,17:02:12,AlarmasMujer,Valencia,2019,3,13,85,2,Monday,17,-0.339890659,39.46792221,570.5804331,60.3117,569.5938,546.3368,550.1022,637.0732,866.7584,951.3525,689.3029,218.3027,198.7338,237,-0.339708145,39.46532225,728834.6252668558,4372082.478619312,2019-03-26 17:02:12,1553619732
