crime_id,crime_date,crime_time,crime_type,muni,year,month,week,day,week_day,week_day_name,crime_hour,crime_lon,crime_lat,atm_dist,bank_dist,bar_dist,cafe_dist,industrial_dist,market_dist,nightclub_dist,police_dist,pub_dist,restaurant_dist,taxi_dist,grid_id,grid_lon,grid_lat,utm_x,utm_y,datetime,timestamp
v84340,2020-01-04,22:04:19,AlarmasMujer,Valencia,2020,1,1,4,6,Friday,22,-0.400923252,39.46844482,1590.859176,226.4497,682.6297,437.8194,782.8715,373.9936,994.9227,148.981,794.8732,113.1411,888.1597,206,-0.400932715,39.47123075,723581.9459322297,4371987.193359506,2020-01-04 22:04:19,1578175459
v84400,2020-01-07,10:58:25,AlarmasMujer,Valencia,2020,1,1,7,2,Monday,10,-0.390707552,39.43620682,2604.937743,77.3304,67.336,1119.7091,919.0127,3184.4354,1293.2176,2618.901,731.6484,1269.3867,65.7175,328,-0.389800975,39.43577975,724564.4819258692,4368434.118505654,2020-01-07 10:58:25,1578394705
v84385,2020-01-07,16:10:02,AlarmasMujer,Valencia,2020,1,1,7,2,Monday,16,-0.333872557,39.46650696,221.7373892,500.9256,232.1245,327.8298,20.027,117.5274,629.9442,442.885,152.892,185.6933,377.8256,238,-0.334142275,39.46532225,729357.0519039722,4371940.689991371,2020-01-07 16:10:02,1578413402
v84477,2020-01-11,10:52:59,AlarmasMujer,Valencia,2020,1,2,11,6,Friday,10,-0.332726091,39.46499252,307.9734414,311.0315,373.5965,138.1199,67.6659,259.4028,535.635,425.0549,203.7489,127.8775,452.0497,238,-0.334142275,39.46532225,729460.6698060805,4371775.502430625,2020-01-11 10:52:59,1578739979
v84662,2020-01-17,12:30:06,AlarmasMujer,Valencia,2020,1,3,17,5,Thursday,12,-0.390642703,39.44825745,1556.323855,98.6796,596.3787,256.3997,368.5031,2133.3522,516.5035,1421.8198,88.8663,113.2413,1270.5932,288,-0.389800975,39.44759675,724531.3351295438,4369771.923397036,2020-01-17 12:30:06,1579264206
v84689,2020-01-18,15:46:48,AlarmasMujer,Valencia,2020,1,3,18,6,Friday,15,-0.380842,39.48040771,668.7834404,652.657,328.3003,176.4258,1016.0976,692.8758,670.5758,743.5995,463.7733,108.5617,707.5306,170,-0.378669235,39.48304775,725271.0219606211,4373365.150179295,2020-01-18 15:46:48,1579362408
v84693,2020-01-18,19:01:09,AlarmasMujer,Valencia,2020,1,3,18,6,Friday,19,-0.38965556,39.46154022,897.9381263,260.3595,578.1765,306.5304,220.9608,1221.081,319.4739,138.6202,190.5913,141.6814,861.5422,248,-0.389800975,39.45941375,724573.5724636352,4371248.799843013,2020-01-18 19:01:09,1579374069
v84768,2020-01-21,17:02:18,AlarmasMujer,Valencia,2020,1,3,21,2,Monday,17,-0.369444698,39.48192978,90.92115061,86.4654,522.8483,118.3771,625.2158,498.2504,708.1543,886.0793,630.3054,175.6325,920.5664,172,-0.367537495,39.48304775,726246.4892055754,4373562.681836643,2020-01-21 17:02:18,1579626138
v85127,2020-02-02,15:46:33,AlarmasMujer,Valencia,2020,2,5,33,7,Saturday,15,-0.331012189,39.47002792,235.3338804,702.6831,249.6931,304.1587,34.3051,287.3196,649.4658,84.8364,333.5284,197.9256,310.0315,219,-0.328576405,39.47123075,729591.5719531305,4372338.816652956,2020-02-02 15:46:33,1580658393
v85197,2020-02-04,08:46:07,AlarmasMujer,Valencia,2020,2,5,35,2,Monday,8,-0.400923252,39.46844482,1590.859176,226.4497,682.6297,437.8194,782.8715,373.9936,994.9227,148.981,794.8732,113.1411,888.1597,206,-0.400932715,39.47123075,723581.9459322297,4371987.193359506,2020-02-04 08:46:07,1580805967
v85262,2020-02-06,17:45:04,AlarmasMujer,Valencia,2020,2,6,37,4,Wednesday,17,-0.400923252,39.46844482,1590.859176,226.4497,682.6297,437.8194,782.8715,373.9936,994.9227,148.981,794.8732,113.1411,888.1597,206,-0.400932715,39.47123075,723581.9459322297,4371987.193359506,2020-02-06 17:45:04,1581011104
v85648,2020-02-21,22:47:18,AlarmasMujer,Valencia,2020,2,8,52,5,Thursday,22,-0.361664921,39.46026993,928.7625702,186.4539,172.0005,376.7251,259.6482,939.6674,1093.7603,711.0921,572.2375,158.8744,553.3484,253,-0.361971625,39.45941375,726986.125616935,4371177.954748963,2020-02-21 22:47:18,1582325238
v85649,2020-02-21,23:50:09,AlarmasMujer,Valencia,2020,2,8,52,5,Thursday,23,-0.361973792,39.45846176,797.19558,347.6005,83.1731,497.8484,429.5585,958.8302,1100.6638,604.6744,620.0338,107.3892,696.2084,253,-0.361971625,39.45941375,726965.4258746372,4370976.464719545,2020-02-21 23:50:09,1582329009
v85825,2020-02-26,20:18:04,AlarmasMujer,Valencia,2020,2,9,57,3,Tuesday,20,-0.380777299,39.49041748,443.144087,272.9167,567.5814,321.5421,1318.561,930.3683,737.8736,369.2431,755.483,255.2059,1084.2112,150,-0.378669235,39.48895625,725244.2662698044,4374476.42418867,2020-02-26 20:18:04,1582748284
