crime_id,crime_date,crime_time,crime_type,muni,year,month,week,day,week_day,week_day_name,crime_hour,crime_lon,crime_lat,atm_dist,bank_dist,bar_dist,cafe_dist,industrial_dist,market_dist,nightclub_dist,police_dist,pub_dist,restaurant_dist,taxi_dist,grid_id,grid_lon,grid_lat,utm_x,utm_y,datetime,timestamp
v84287,2020-01-02,02:47:12,Otros,Valencia,2020,1,1,2,4,Wednesday,2,-0.362472504,39.48223877,772.8798087,124.3889,334.585,119.9355,54.4574,1174.1478,1126.3013,875.9009,173.9767,124.6147,1482.8822,173,-0.361971625,39.48304775,726845.2246714738,4373614.524139169,2020-01-02 02:47:12,1577933232
v84329,2020-01-04,18:32:53,Otros,Valencia,2020,1,1,4,6,Friday,18,-0.376621008,39.46730042,463.6452046,68.3953,147.5292,82.199,420.375,689.9701,360.9336,754.797,110.7059,74.9863,82.7055,230,-0.378669235,39.46532225,725676.4940081174,4371920.775313574,2020-01-04 18:32:53,1578162773
v84334,2020-01-04,22:01:42,Otros,Valencia,2020,1,1,4,6,Friday,22,-0.386469007,39.45540237,750.8044702,20.5617,514.26,399.267,272.3681,1610.332,389.104,713.899,543.1948,248.4577,751.6341,269,-0.384235105,39.45350525,724867.5198313006,4370575.434147073,2020-01-04 22:01:42,1578175302
v84357,2020-01-05,23:44:21,Otros,Valencia,2020,1,1,5,7,Saturday,23,-0.402722985,39.45798492,2187.001128,244.2298,291.3244,766.9221,556.3866,752.2439,1094.3383,825.7135,323.1815,399.2129,320.0613,246,-0.400932715,39.45941375,723460.5812773334,4370821.656675735,2020-01-05 23:44:21,1578267861
v84369,2020-01-06,12:22:29,Otros,Valencia,2020,1,1,6,1,Sunday,12,-0.381199956,39.49819183,977.9354461,384.706,1175.644,1043.2093,1683.8211,1605.793,1431.401,1103.7856,1337.5983,455.0954,1087.3409,110,-0.378669235,39.50077325,725182.8104283113,4375338.342038829,2020-01-06 12:22:29,1578313349
v84365,2020-01-06,22:15:00,Otros,Valencia,2020,1,1,6,1,Sunday,22,-0.367796987,39.46516037,506.2927644,218.2531,467.8139,36.0352,352.0054,447.1301,590.6914,866.38,173.5748,59.1161,577.5755,232,-0.367537495,39.46532225,726442.6264353271,4371705.372052711,2020-01-06 22:15:00,1578348900
v84364,2020-01-06,22:48:15,Otros,Valencia,2020,1,1,6,1,Sunday,22,-0.36258164,39.46602249,712.949506,349.0565,335.0663,225.2374,187.4773,861.5254,828.0003,765.4312,143.0218,147.8871,595.8716,233,-0.361971625,39.46532225,726888.5506692871,4371814.194988045,2020-01-06 22:48:15,1578350895
v84406,2020-01-08,00:38:00,Otros,Valencia,2020,1,2,8,3,Tuesday,0,-0.331668615,39.46167374,639.2587912,126.3655,187.0861,228.9062,157.3356,334.1121,405.8904,328.0571,486.2792,224.8956,650.2046,258,-0.334142275,39.45941375,729562.5676863734,4371409.801653933,2020-01-08 00:38:00,1578443880
v84405,2020-01-08,01:55:32,Otros,Valencia,2020,1,2,8,3,Tuesday,1,-0.330992132,39.48080826,390.810499,310.4231,488.0192,536.5785,195.2844,1283.3935,975.9518,914.7664,303.2126,332.9988,1137.9424,179,-0.328576405,39.48304775,729557.8327638872,4373535.522951132,2020-01-08 01:55:32,1578448532
v84422,2020-01-08,06:12:29,Otros,Valencia,2020,1,2,8,3,Tuesday,6,-0.399764508,39.49102402,600.1116056,209.0624,210.9479,462.9816,1853.0333,2318.6011,1562.9,2151.7062,85.6526,69.3174,71.487,146,-0.400932715,39.48895625,723609.2690610177,4374496.414950648,2020-01-08 06:12:29,1578463949
v84416,2020-01-08,12:58:47,Otros,Valencia,2020,1,2,8,3,Tuesday,12,-0.385156006,39.47050095,63.25910484,26.3437,350.7619,43.4757,36.3109,243.4667,202.3972,34.874,373.5177,147.4411,764.4407,209,-0.384235105,39.47123075,724931.8573320004,4372254.690215536,2020-01-08 12:58:47,1578488327
