crime_id,crime_date,crime_time,crime_type,muni,year,month,week,day,week_day,week_day_name,crime_hour,crime_lon,crime_lat,atm_dist,bank_dist,bar_dist,cafe_dist,industrial_dist,market_dist,nightclub_dist,police_dist,pub_dist,restaurant_dist,taxi_dist,grid_id,grid_lon,grid_lat,utm_x,utm_y,datetime,timestamp
v153,2010-02-01,21:45:36,AlarmasMujer,Valencia,2010,2,5,32,1,Sunday,21,-0.335851371,39.45883179,978.8056744,192.176,114.6237,86.7252,100.7036,290.6783,162.9847,833.1791,886.4019,208.815,1066.1531,258,-0.334142275,39.45941375,729211.9946799836,4371083.684132036,2010-02-01 21:45:36,1265060736
v314,2010-02-26,20:55:10,AlarmasMujer,Valencia,2010,2,9,57,5,Thursday,20,-0.345000446,39.46696091,580.9257022,230.3781,350.8114,338.9995,723.2885,900.2661,1150.2055,1471.1002,559.0991,178.005,321.5146,236,-0.345274015,39.46532225,728398.1425653015,4371962.800312031,2010-02-26 20:55:10,1267217710
v365,2010-03-02,16:18:47,AlarmasMujer,Valencia,2010,3,9,61,2,Monday,16,-0.400424987,39.46128845,1809.18983,611.7328,34.8458,434.7762,695.1545,504.5719,987.7076,614.1298,177.6899,238.3112,173.4909,246,-0.400932715,39.45941375,723647.7382302866,4371194.058213637,2010-03-02 16:18:47,1267546727
v2015,2010-06-22,10:35:18,AlarmasMujer,Valencia,2010,6,25,173,2,Monday,10,-0.407170087,39.46500015,2276.762428,639.9393,753.9143,1029.3851,1378.3886,393.8769,1645.62,579.7417,252.3223,645.8405,899.2629,225,-0.406498585,39.46532225,723055.5056027074,4371589.338792891,2010-06-22 10:35:18,1277202918
v2044,2010-06-24,06:26:12,AlarmasMujer,Valencia,2010,6,25,175,4,Wednesday,6,-0.376044989,39.49228668,528.1752897,145.295,682.2522,622.4279,928.8938,879.6315,738.1557,380.2071,557.9222,365.8173,576.2105,130,-0.378669235,39.49486475,725645.2364456182,4374695.762631635,2010-06-24 06:26:12,1277360772
v4377,2010-10-29,21:22:46,AlarmasMujer,Valencia,2010,10,44,302,5,Thursday,21,-0.372275293,39.49425888,119.8467065,94.6901,824.5127,210.9814,770.8406,1080.2676,1001.8738,425.1541,556.0079,631.8807,151.4254,131,-0.373103365,39.49486475,725963.0627585305,4374924.139215052,2010-10-29 21:22:46,1288387366
v8301,2011-06-09,11:43:57,AlarmasMujer,Valencia,2011,6,23,160,4,Wednesday,11,-0.373862833,39.46781158,272.7039368,18.8458,292.7681,102.7529,454.902,595.7287,378.6412,990.1468,250.2882,64.4293,199.0672,231,-0.373103365,39.46532225,725912.1442705699,4371984.430349339,2011-06-09 11:43:57,1307619837
v8337,2011-06-10,22:04:36,AlarmasMujer,Valencia,2011,6,23,161,5,Thursday,22,-0.333572179,39.46893311,69.30653254,572.1619,49.6153,374.2378,11.9806,85.2811,872.601,311.5131,223.9326,115.569,181.4776,218,-0.334142275,39.47123075,729374.9235024004,4372210.765673756,2011-06-10 22:04:36,1307743476
v8401,2011-06-13,12:16:56,AlarmasMujer,Valencia,2011,6,24,164,1,Sunday,12,-0.374745011,39.45523834,785.4420636,198.886,76.6513,404.7173,270.0172,719.7342,675.15,711.8783,610.7104,125.9181,277.5211,271,-0.373103365,39.45350525,725876.9166862471,4370586.556732743,2011-06-13 12:16:56,1307967416
v8425,2011-06-14,21:19:11,AlarmasMujer,Valencia,2011,6,24,165,2,Monday,21,-0.369370013,39.49539185,235.3811796,227.5495,1008.1231,173.3714,747.0485,1270.1531,1233.5981,642.5872,708.0946,846.8103,160.4126,132,-0.367537495,39.49486475,726209.2521381406,4375057.19977132,2011-06-14 21:19:11,1308086351
