crime_id,crime_date,crime_time,crime_type,muni,year,month,week,day,week_day,week_day_name,crime_hour,crime_lon,crime_lat,atm_dist,bank_dist,bar_dist,cafe_dist,industrial_dist,market_dist,nightclub_dist,police_dist,pub_dist,restaurant_dist,taxi_dist,grid_id,grid_lon,grid_lat,utm_x,utm_y,datetime,timestamp
v9862,2011-08-20,10:27:28,AlarmasMujer,Valencia,2011,8,34,232,6,Friday,10,-0.381965041,39.47712326,506.1654008,440.7063,125.8448,153.8954,771.3106,435.3328,695.8618,643.2471,163.521,67.8299,667.329,189,-0.384235105,39.47713925,725185.0164754265,4372997.758376959,2011-08-20 10:27:28,1313836048
v10643,2011-10-01,06:09:41,AlarmasMujer,Valencia,2011,10,40,274,6,Friday,6,-0.363498151,39.46073151,1063.845695,145.458,153.8233,225.5107,222.0552,751.1946,906.4572,596.0029,461.2418,109.5683,690.2961,253,-0.361971625,39.45941375,726826.8846894449,4371224.573342519,2011-10-01 06:09:41,1317449381
v18316,2012-09-08,09:03:33,AlarmasMujer,Valencia,2012,9,36,252,6,Friday,9,-0.385390103,39.45651245,596.8252526,168.9963,567.6434,493.6681,155.4287,1467.0175,296.9302,649.058,389.9606,323.9754,596.9053,249,-0.384235105,39.45941375,724956.7851096636,4370701.349146793,2012-09-08 09:03:33,1347095013
v27930,2013-11-23,21:40:28,AlarmasMujer,Valencia,2013,11,47,327,6,Friday,21,-0.404805005,39.46899033,1967.891066,210.8967,856.023,745.7922,1173.9275,381.6198,1385.7116,519.5466,559.1669,282.7412,990.8144,205,-0.406498585,39.47123075,723246.2346416166,4372038.11680709,2013-11-23 21:40:28,1385242828
v29006,2014-01-18,13:11:33,AlarmasMujer,Valencia,2014,1,3,18,6,Friday,13,-0.401270002,39.47291183,1589.461898,258.3176,797.4824,376.8877,952.0144,767.1975,1097.7474,568.6476,828.631,191.7684,546.1365,206,-0.400932715,39.47123075,723537.8069664083,4372482.180499186,2014-01-18 13:11:33,1390050693
v30769,2014-04-12,13:49:43,AlarmasMujer,Valencia,2014,4,15,102,6,Friday,13,-0.390623212,39.45653534,1054.73174,319.5435,251.3968,133.4524,186.9429,1545.3695,131.6092,618.7221,204.5466,338.2603,970.3575,248,-0.389800975,39.45941375,724506.4028263149,4370690.835094172,2014-04-12 13:49:43,1397310583
v32802,2014-07-19,21:58:15,AlarmasMujer,Valencia,2014,7,29,200,6,Friday,21,-0.343840003,39.4457016,776.4104548,1313.0428,1375.8215,1113.7132,81.4552,1048.4373,1690.9957,2313.988,142.1388,501.7225,1163.3328,296,-0.345274015,39.44759675,728567.5568053299,4369605.89748491,2014-07-19 21:58:15,1405807095
v34037,2014-09-13,14:55:28,AlarmasMujer,Valencia,2014,9,37,256,6,Friday,14,-0.350345165,39.47222519,416.8226505,185.1967,20.1636,290.5266,700.2075,706.369,1755.4627,1351.7411,427.6119,134.0812,964.6496,215,-0.350839885,39.47123075,727921.1055983109,4372533.610874279,2014-09-13 14:55:28,1410620128
v34705,2014-10-11,19:55:58,AlarmasMujer,Valencia,2014,10,41,284,6,Friday,19,-0.376982331,39.48457718,675.9858943,459.9302,128.9191,438.4837,976.8253,274.7786,116.0352,329.4084,68.0493,154.1351,986.5321,170,-0.378669235,39.48304775,725589.5510149758,4373837.636732442,2014-10-11 19:55:58,1413057358
v35147,2014-11-01,10:00:12,AlarmasMujer,Valencia,2014,11,44,305,6,Friday,10,-0.336010009,39.46469116,448.3674066,334.6703,461.5871,342.4855,130.7448,323.5915,428.7754,723.3447,426.5945,222.9516,554.7492,238,-0.334142275,39.46532225,729179.110201257,4371733.68916824,2014-11-01 10:00:12,1414836012
