crime_id,crime_date,crime_time,crime_type,muni,year,month,week,day,week_day,week_day_name,crime_hour,crime_lon,crime_lat,atm_dist,bank_dist,bar_dist,cafe_dist,industrial_dist,market_dist,nightclub_dist,police_dist,pub_dist,restaurant_dist,taxi_dist,grid_id,grid_lon,grid_lat,utm_x,utm_y,datetime,timestamp
v365,2010-03-02,16:18:47,AlarmasMujer,Valencia,2010,3,9,61,2,Monday,16,-0.400424987,39.46128845,1809.18983,611.7328,34.8458,434.7762,695.1545,504.5719,987.7076,614.1298,177.6899,238.3112,173.4909,246,-0.400932715,39.45941375,723647.7382302866,4371194.058213637,2010-03-02 16:18:47,1267546727
v2015,2010-06-22,10:35:18,AlarmasMujer,Valencia,2010,6,25,173,2,Monday,10,-0.407170087,39.46500015,2276.762428,639.9393,753.9143,1029.3851,1378.3886,393.8769,1645.62,579.7417,252.3223,645.8405,899.2629,225,-0.406498585,39.46532225,723055.5056027074,4371589.338792891,2010-06-22 10:35:18,1277202918
v8425,2011-06-14,21:19:11,AlarmasMujer,Valencia,2011,6,24,165,2,Monday,21,-0.369370013,39.49539185,235.3811796,227.5495,1008.1231,173.3714,747.0485,1270.1531,1233.5981,642.5872,708.0946,846.8103,160.4126,132,-0.367537495,39.49486475,726209.2521381406,4375057.19977132,2011-06-14 21:19:11,1308086351
v27976,2013-11-26,23:04:51,AlarmasMujer,Valencia,2013,11,48,330,2,Monday,23,-0.364585072,39.48513794,618.4674439,118.4925,48.871,307.5436,331.2703,966.8095,1128.7187,971.6604,50.5176,75.1387,1153.3274,173,-0.361971625,39.48304775,726654.0857602656,4373931.020168628,2013-11-26 23:04:51,1385507091
v28809,2014-01-07,08:13:51,AlarmasMujer,Valencia,2014,1,1,7,2,Monday,8,-0.39814499,39.47647476,1134.663379,386.5982,333.1158,37.6354,849.1758,1209.831,865.4963,841.9827,689.5624,135.0706,393.2,187,-0.395366845,39.47713925,723795.2247220639,4372885.435708069,2014-01-07 08:13:51,1389082431
v29578,2014-02-18,00:57:06,AlarmasMujer,Valencia,2014,2,7,49,2,Monday,0,-0.403933823,39.46972275,1874.404329,111.9126,881.5268,640.393,1096.1429,427.6179,1306.6075,468.9657,672.23,214.05,895.2147,205,-0.406498585,39.47123075,723318.8429723125,4372121.576842946,2014-02-18 00:57:06,1392685026
v29700,2014-02-25,23:32:03,AlarmasMujer,Valencia,2014,2,8,56,2,Monday,23,-0.398096353,39.47176743,1286.976765,59.1667,753.4111,42.0536,624.4027,810.0396,787.6172,372.3742,587.0683,80.7066,640.7533,207,-0.395366845,39.47123075,723814.5042615449,4372363.032145641,2014-02-25 23:32:03,1393371123
v29835,2014-03-04,17:16:16,AlarmasMujer,Valencia,2014,3,9,63,2,Monday,17,-0.371834993,39.49475861,57.48447036,34.6832,879.9253,144.6913,788.853,1137.5991,1064.5692,482.8731,603.5683,696.9698,97.1024,131,-0.373103365,39.49486475,725999.3106679629,4374980.716180764,2014-03-04 17:16:16,1393953376
v31853,2014-06-03,14:19:30,AlarmasMujer,Valencia,2014,6,22,154,2,Monday,14,-0.372470111,39.47034454,77.15037716,71.1038,6.18051,114.106,738.6612,762.0695,499.9288,925.9324,339.5139,63.8944,124.5544,211,-0.373103365,39.47123075,726023.7667627692,4372269.090073829,2014-06-03 14:19:30,1401805170
v32306,2014-06-24,14:47:00,AlarmasMujer,Valencia,2014,6,25,175,2,Monday,14,-0.376811206,39.48822403,828.3411373,246.2794,270.4245,380.9448,899.3565,517.5457,344.7814,188.3915,432.9646,159.3878,887.3823,150,-0.378669235,39.48895625,725592.4767040424,4374242.876263573,2014-06-24 14:47:00,1403621220
v32436,2014-07-01,09:04:38,AlarmasMujer,Valencia,2014,7,26,182,2,Monday,9,-0.348374993,39.46797943,232.9259148,98.3804,153.9436,228.6177,450.4339,588.0716,1489.7219,1640.5143,282.0188,195.2634,652.5911,235,-0.350839885,39.46532225,728104.476410255,4372067.30672178,2014-07-01 09:04:38,1404205478
v33382,2014-08-12,18:26:59,AlarmasMujer,Valencia,2014,8,32,224,2,Monday,18,-0.403156459,39.45734787,2258.36246,190.0474,364.0663,837.274,547.787,814.3457,1129.3644,805.7954,393.8552,322.1821,391.1808,246,-0.400932715,39.45941375,723425.3199461421,4370749.867683808,2014-08-12 18:26:59,1407868019
v39918,2015-06-23,14:01:44,AlarmasMujer,Valencia,2015,6,25,174,2,Monday,14,-0.403586537,39.49053574,493.2294676,267.0732,435.7841,843.433,2048.9955,2503.8329,1851.7462,2091.1103,410.5561,164.4139,355.5769,146,-0.400932715,39.48895625,723282.1103273437,4374432.727707118,2015-06-23 14:01:44,1435068104
v39914,2015-06-23,16:33:03,AlarmasMujer,Valencia,2015,6,25,174,2,Monday,16,-0.381706029,39.49024582,349.2536247,231.6298,511.0081,326.7276,1407.041,984.7677,790.9568,420.3581,792.5665,215.7536,1176.2774,149,-0.384235105,39.48895625,725164.9420556478,4374455.046017007,2015-06-23 16:33:03,1435077183
