crime_id,crime_date,crime_time,crime_type,muni,year,month,week,day,week_day,week_day_name,crime_hour,crime_lon,crime_lat,atm_dist,bank_dist,bar_dist,cafe_dist,industrial_dist,market_dist,nightclub_dist,police_dist,pub_dist,restaurant_dist,taxi_dist,grid_id,grid_lon,grid_lat,utm_x,utm_y,datetime,timestamp
v9436,2011-07-31,22:56:34,AlarmasMujer,Valencia,2011,7,31,212,7,Saturday,22,-0.370732069,39.49523926,99.42133444,92.9897,949.9301,76.2541,779.2295,1210.9483,1153.9011,563.5761,659.5072,796.667,44.8249,131,-0.373103365,39.49486475,726092.6070777904,4375036.839617218,2011-07-31 22:56:34,1312152994
v13317,2012-02-26,04:35:49,AlarmasMujer,Valencia,2012,2,9,57,7,Saturday,4,-0.384155393,39.45869446,374.4926548,413.6057,357.0542,264.9675,17.1007,1278.8239,64.4655,546.3661,141.9403,102.0052,363.8321,249,-0.384235105,39.45941375,725055.9994980214,4370946.641257625,2012-02-26 04:35:49,1330230949
v21567,2013-01-27,19:51:41,AlarmasMujer,Valencia,2013,1,4,27,7,Saturday,19,-0.39171499,39.43493652,2761.164436,121.7921,18.2786,1230.1,1078.8822,3264.7902,1450.6965,2755.922,885.9232,1393.3593,113.2586,328,-0.389800975,39.43577975,724481.8470166455,4368290.603105373,2013-01-27 19:51:41,1359316301
v26642,2013-09-22,10:36:07,AlarmasMujer,Valencia,2013,9,38,265,7,Saturday,10,-0.386615008,39.48163986,697.8526563,704.8686,584.769,355.8731,691.7464,881.1032,101.3913,996.373,578.266,179.7946,197.5936,169,-0.384235105,39.48304775,724770.4556412026,4373487.494275072,2013-09-22 10:36:07,1379846167
v27263,2013-10-20,22:17:12,AlarmasMujer,Valencia,2013,10,42,293,7,Saturday,22,-0.386327684,39.48975372,140.5436144,268.2624,232.539,526.3052,1469.3692,1340.3054,857.7469,811.1687,1104.6394,374.3155,973.3918,149,-0.384235105,39.48895625,724769.0269487118,4374388.871747179,2013-10-20 22:17:12,1382307432
v29891,2014-03-09,15:03:03,AlarmasMujer,Valencia,2014,3,10,68,7,Saturday,15,-0.377054989,39.51774597,2304.883362,1996.9436,2884.1405,2261.9555,1270.4629,3420.3297,3286.0147,2798.4059,2950.301,2451.4763,2375.5212,50,-0.378669235,39.51849875,725476.0115959152,4377519.292040448,2014-03-09 15:03:03,1394377383
v32105,2014-06-15,13:36:21,AlarmasMujer,Valencia,2014,6,24,166,7,Saturday,13,-0.394069999,39.49599075,219.4704629,300.4158,325.597,548.152,2099.185,2322.5274,1610.1949,1770.8356,697.7342,630.0852,820.1261,127,-0.395366845,39.49486475,724083.0792101286,4375061.895918411,2014-06-15 13:36:21,1402839381
v33915,2014-09-07,16:51:09,AlarmasMujer,Valencia,2014,9,36,250,7,Saturday,16,-0.388449997,39.45817566,796.9412778,115.7122,501.491,337.6076,299.327,1509.8013,52.585,411.4982,352.1036,286.3605,776.7753,248,-0.389800975,39.45941375,724688.1298825117,4370878.332512537,2014-09-07 16:51:09,1410108669
v33917,2014-09-07,19:45:52,AlarmasMujer,Valencia,2014,9,36,250,7,Saturday,19,-0.385355681,39.47653961,541.3193344,276.5614,112.6128,176.7527,449.1663,360.7521,521.2794,597.8433,174.3096,33.6104,442.3865,189,-0.384235105,39.47713925,724895.2191450977,4372924.497903894,2014-09-07 19:45:52,1410119152
v34076,2014-09-14,20:17:51,AlarmasMujer,Valencia,2014,9,37,257,7,Saturday,20,-0.389705002,39.45363617,1114.113505,17.6135,183.3393,62.1486,171.6625,1797.5582,344.2721,875.8847,242.9422,280.0232,1111.1007,268,-0.389800975,39.45350525,724594.7380366633,4370371.309726928,2014-09-14 20:17:51,1410725871
