crime_id,crime_date,crime_time,crime_type,muni,year,month,week,day,week_day,week_day_name,crime_hour,crime_lon,crime_lat,atm_dist,bank_dist,bar_dist,cafe_dist,industrial_dist,market_dist,nightclub_dist,police_dist,pub_dist,restaurant_dist,taxi_dist,grid_id,grid_lon,grid_lat,utm_x,utm_y,datetime,timestamp
v153,2010-02-01,21:45:36,AlarmasMujer,Valencia,2010,2,5,32,1,Sunday,21,-0.335851371,39.45883179,978.8056744,192.176,114.6237,86.7252,100.7036,290.6783,162.9847,833.1791,886.4019,208.815,1066.1531,258,-0.334142275,39.45941375,729211.9946799836,4371083.684132036,2010-02-01 21:45:36,1265060736
v8401,2011-06-13,12:16:56,AlarmasMujer,Valencia,2011,6,24,164,1,Sunday,12,-0.374745011,39.45523834,785.4420636,198.886,76.6513,404.7173,270.0172,719.7342,675.15,711.8783,610.7104,125.9181,277.5211,271,-0.373103365,39.45350525,725876.9166862471,4370586.556732743,2011-06-13 12:16:56,1307967416
v10015,2011-08-29,02:14:37,AlarmasMujer,Valencia,2011,8,35,241,1,Sunday,2,-0.408995003,39.4638443,2484.407088,850.6046,740.8868,1055.9961,1414.5785,596.6104,1847.7646,385.842,217.5362,663.6675,996.8404,225,-0.406498585,39.46532225,722902.1815796685,4371456.519395865,2011-08-29 02:14:37,1314584077
v15788,2012-06-04,20:35:44,AlarmasMujer,Valencia,2012,6,23,156,1,Sunday,20,-0.36849001,39.45262146,1152.824728,404.0179,316.6352,673.1019,428.6587,952.8103,985.2909,221.1614,942.9598,113.297,793.9867,272,-0.367537495,39.45350525,726423.6541795618,4370311.778644394,2012-06-04 20:35:44,1338842144
v20509,2012-12-10,10:58:09,AlarmasMujer,Valencia,2012,12,50,345,1,Sunday,10,-0.349003971,39.4645195,393.7899047,110.3422,15.0749,45.2803,317.8291,522.792,1407.8676,1734.515,320.7032,67.9325,779.7802,235,-0.350839885,39.46532225,728061.6646520705,4371681.651159334,2012-12-10 10:58:09,1355137089
v20855,2012-12-24,00:17:34,AlarmasMujer,Valencia,2012,12,52,359,1,Sunday,0,-0.384259731,39.4836998,555.1722485,764.9472,413.1625,515.8517,988.5382,986.2777,409.8928,685.4178,703.5401,174.793,509.3787,169,-0.384235105,39.48304775,724966.411843434,4373722.035545133,2012-12-24 00:17:34,1356308254
v29443,2014-02-10,22:08:16,AlarmasMujer,Valencia,2014,2,6,41,1,Sunday,22,-0.365742773,39.4556694,941.5117141,666.5659,443.6888,491.7365,740.5818,811.7055,901.3863,211.818,735.6191,24.5118,1099.9359,272,-0.367537495,39.45350525,726650.1759861931,4370657.015935748,2014-02-10 22:08:16,1392070096
v30130,2014-03-17,14:35:29,AlarmasMujer,Valencia,2014,3,11,76,1,Sunday,14,-0.364153713,39.45970535,1034.928298,266.9446,167.8188,306.6771,343.3459,711.6085,858.0735,477.653,475.1973,80.1228,794.4823,253,-0.361971625,39.45941375,726773.809546412,4371109.01621752,2014-03-17 14:35:29,1395066929
v31968,2014-06-09,13:46:39,AlarmasMujer,Valencia,2014,6,23,160,1,Sunday,13,-0.339562595,39.4783287,257.6648783,487.0198,584.378,310.0868,719.4503,1199.0273,1532.8746,1275.8345,670.9518,136.1154,941.2478,197,-0.339708145,39.47713925,728828.7276547328,4373238.466857618,2014-06-09 13:46:39,1402321599
v32430,2014-06-30,10:37:20,AlarmasMujer,Valencia,2014,6,26,181,1,Sunday,10,-0.391209513,39.46870422,644.0342752,118.0712,199.1683,321.9528,74.7821,729.7647,76.2492,299.3088,150.0669,33.3865,520.0591,208,-0.389800975,39.47123075,724416.8344867707,4372040.147027755,2014-06-30 10:37:20,1404124640
v32716,2014-07-14,10:12:50,AlarmasMujer,Valencia,2014,7,28,195,1,Sunday,10,-0.384990007,39.52859879,3424.841023,3174.6497,3608.5624,3551.6509,24.5615,4618.3915,4463.3299,4036.9594,3955.9529,3510.0036,3662.1019,9,-0.384235105,39.53031575,724758.7879878326,4378704.133896703,2014-07-14 10:12:50,1405332770
v33200,2014-08-04,17:27:42,AlarmasMujer,Valencia,2014,8,31,216,1,Sunday,17,-0.366303146,39.45544434,986.4498133,612.7267,499.224,474.5006,707.488,795.4303,875.7524,174.3221,728.8546,44.9286,1040.1654,272,-0.367537495,39.45350525,726602.6854493257,4370630.623973568,2014-08-04 17:27:42,1407173262
v34118,2014-09-15,21:23:41,AlarmasMujer,Valencia,2014,9,37,258,1,Sunday,21,-0.363566726,39.46194839,953.7917891,96.3763,84.4887,123.075,130.5472,734.791,895.9369,683.6482,404.0668,23.3859,657.5892,253,-0.361971625,39.45941375,726817.0310380063,4371359.477618504,2014-09-15 21:23:41,1410816221
v35211,2014-11-03,08:21:52,AlarmasMujer,Valencia,2014,11,44,307,1,Sunday,8,-0.379467666,39.49496841,775.2951585,160.4056,947.6418,781.9432,1358.862,1240.5859,1068.5124,754.6558,992.6404,252.1248,860.3701,130,-0.378669235,39.49486475,725342.2009322811,4374984.868342467,2014-11-03 08:21:52,1415002912
v37291,2015-02-23,16:58:40,AlarmasMujer,Valencia,2015,2,8,54,1,Sunday,16,-0.401105344,39.48805618,725.7467481,415.8933,264.9902,648.0277,1698.591,2190.2208,1515.5213,1994.0684,407.0236,82.0994,254.2406,146,-0.400932715,39.48895625,723503.4569751541,4374163.647561464,2015-02-23 16:58:40,1424710720
v43031,2015-11-09,23:30:19,AlarmasMujer,Valencia,2015,11,45,313,1,Sunday,23,-0.390800357,39.4861908,97.88509055,608.7706,67.9434,46.8945,1078.9867,1436.7759,589.7867,1232.6345,1056.7677,20.395,669.5822,148,-0.389800975,39.48895625,724395.7984289245,4373982.220247005,2015-11-09 23:30:19,1447111819
v43314,2015-11-23,09:38:59,AlarmasMujer,Valencia,2015,11,47,327,1,Sunday,9,-0.370629758,39.45449448,1167.177704,239.6321,309.0615,509.6052,678.814,723.148,736.4774,351.3163,758.8555,189.9615,597.3337,271,-0.373103365,39.45350525,726233.4509130027,4370514.312869403,2015-11-23 09:38:59,1448271539
v45082,2016-02-15,19:27:36,AlarmasMujer,Valencia,2016,2,7,46,1,Sunday,19,-0.335714817,39.46534729,376.4382487,406.5155,423.8093,412.6873,107.1789,326.2409,492.0576,659.1684,368.2499,155.0242,484.9267,238,-0.334142275,39.46532225,729202.3544715,4371807.272897436,2016-02-15 19:27:36,1455564456
v50739,2016-10-03,17:04:48,AlarmasMujer,Valencia,2016,10,40,277,1,Sunday,17,-0.323821694,39.46449661,915.9370163,721.7214,95.0212,699.6414,325.3073,970.8539,856.2686,368.0896,475.2513,30.6486,144.526,240,-0.323010535,39.46532225,730228.4419656183,4371743.178529393,2016-10-03 17:04:48,1475514288
v54101,2017-03-06,20:26:46,AlarmasMujer,Valencia,2017,3,10,65,1,Sunday,20,-0.371571422,39.45199966,1237.50279,89.7638,44.7871,768.1558,543.0997,967.1792,965.9608,344.4127,1021.1471,80.3458,495.5479,271,-0.373103365,39.45350525,726160.4967621756,4370235.0174336815,2017-03-06 20:26:46,1488832006
v55524,2017-04-24,20:27:48,AlarmasMujer,Valencia,2017,4,17,114,1,Sunday,20,-0.348764896,39.47462845,683.6448243,166.6309,296.6662,68.2094,980.8641,993.8048,1926.7209,1506.6122,308.7028,13.4148,982.552,195,-0.350839885,39.47713925,728049.2047227217,4372804.381088421,2017-04-24 20:27:48,1493065668
v55682,2017-05-01,21:43:28,AlarmasMujer,Valencia,2017,5,18,121,1,Sunday,21,-0.379159033,39.48522186,709.6067286,605.0999,154.5097,239.4075,1166.545,501.5877,330.415,233.9995,256.5838,73.8232,1011.6904,170,-0.378669235,39.48304775,725400.2381599671,4373903.746107899,2017-05-01 21:43:28,1493675008
v57016,2017-06-19,09:58:28,AlarmasMujer,Valencia,2017,6,25,170,1,Sunday,9,-0.377976507,39.49552536,625.6999601,112.0909,986.7373,697.7455,1265.8968,1240.6812,1082.5115,741.5705,922.021,409.5815,714.6868,130,-0.378669235,39.49486475,725468.6437640425,4375050.425622621,2017-06-19 09:58:28,1497866308
v57434,2017-07-03,15:09:22,AlarmasMujer,Valencia,2017,7,27,184,1,Sunday,15,-0.377187133,39.49064636,719.1959762,203.5483,500.7985,475.8722,974.1413,753.5776,588.8384,344.4868,576.5435,271.158,757.0405,150,-0.378669235,39.48895625,725552.3098165162,4374510.819904951,2017-07-03 15:09:22,1499094562
v58062,2017-07-24,11:35:44,AlarmasMujer,Valencia,2017,7,30,205,1,Sunday,11,-0.423590273,39.50232697,2094.425861,437.745,321.1839,655.2786,4108.9736,4206.4908,4173.7414,3274.6549,2606.8922,135.2593,2641.9769,102,-0.423196195,39.50077325,721524.1782001783,4375692.155598265,2017-07-24 11:35:44,1500896144
v59277,2017-09-04,20:00:26,AlarmasMujer,Valencia,2017,9,36,247,1,Sunday,20,-0.390478164,39.44552612,1766.769195,277.0886,869.4452,298.4265,385.8076,2368.3032,559.099,1689.7968,121.9626,352.5206,997.8124,288,-0.389800975,39.44759675,724554.2748278147,4369469.150314248,2017-09-04 20:00:26,1504555226
v59283,2017-09-04,21:37:13,AlarmasMujer,Valencia,2017,9,36,247,1,Sunday,21,-0.378904909,39.48418045,792.2751208,634.6376,192.3937,342.15,1171.2734,453.9369,312.0808,331.8409,196.3773,85.1588,986.8406,170,-0.378669235,39.48304775,725425.4615814578,4373788.782961405,2017-09-04 21:37:13,1504561033
v59462,2017-09-11,19:18:47,AlarmasMujer,Valencia,2017,9,37,254,1,Sunday,19,-0.378819853,39.49751282,742.7388576,146.9087,1190.5196,796.3097,1456.3011,1455.4953,1294.6192,947.7657,1127.872,476.4279,840.0686,130,-0.378669235,39.49486475,725389.6906274373,4375268.927386858,2017-09-11 19:18:47,1505157527
v61455,2017-12-04,22:04:10,AlarmasMujer,Valencia,2017,12,49,338,1,Sunday,22,-0.426721007,39.49957275,2328.39206,777.0929,702.6334,1015.8944,4417.1328,4136.7376,4323.1938,3144.6066,2808.8562,142.0437,2823.0752,101,-0.428762065,39.50077325,721263.6973085513,4375378.729764427,2017-12-04 22:04:10,1512425050
