crime_id,crime_date,crime_time,crime_type,muni,year,month,week,day,week_day,week_day_name,crime_hour,crime_lon,crime_lat,atm_dist,bank_dist,bar_dist,cafe_dist,industrial_dist,market_dist,nightclub_dist,police_dist,pub_dist,restaurant_dist,taxi_dist,grid_id,grid_lon,grid_lat,utm_x,utm_y,datetime,timestamp
v314,2010-02-26,20:55:10,AlarmasMujer,Valencia,2010,2,9,57,5,Thursday,20,-0.345000446,39.46696091,580.9257022,230.3781,350.8114,338.9995,723.2885,900.2661,1150.2055,1471.1002,559.0991,178.005,321.5146,236,-0.345274015,39.46532225,728398.1425653015,4371962.800312031,2010-02-26 20:55:10,1267217710
v4377,2010-10-29,21:22:46,AlarmasMujer,Valencia,2010,10,44,302,5,Thursday,21,-0.372275293,39.49425888,119.8467065,94.6901,824.5127,210.9814,770.8406,1080.2676,1001.8738,425.1541,556.0079,631.8807,151.4254,131,-0.373103365,39.49486475,725963.0627585305,4374924.139215052,2010-10-29 21:22:46,1288387366
v8337,2011-06-10,22:04:36,AlarmasMujer,Valencia,2011,6,23,161,5,Thursday,22,-0.333572179,39.46893311,69.30653254,572.1619,49.6153,374.2378,11.9806,85.2811,872.601,311.5131,223.9326,115.569,181.4776,218,-0.334142275,39.47123075,729374.9235024004,4372210.765673756,2011-06-10 22:04:36,1307743476
v10975,2011-10-21,16:56:06,AlarmasMujer,Valencia,2011,10,42,294,5,Thursday,16,-0.360129029,39.48288345,1007.257918,253.46,194.82,120.3217,216.2924,1402.2976,1307.3749,999.94,86.1123,72.2526,1604.8155,173,-0.361971625,39.48304775,727044.7089752445,4373691.99272599,2011-10-21 16:56:06,1319216166
v15026,2012-05-04,23:41:46,AlarmasMujer,Valencia,2012,5,18,125,5,Thursday,23,-0.366733909,39.46193314,841.775761,169.2319,400.625,140.6547,429.1326,418.0698,579.4763,551.9813,140.1718,140.7277,894.2777,252,-0.367537495,39.45941375,726544.5649115078,4371349.814182565,2012-05-04 23:41:46,1336174906
v28841,2014-01-10,13:00:05,AlarmasMujer,Valencia,2014,1,2,10,5,Thursday,13,-0.328586549,39.47695923,564.4833299,64.7941,548.3677,126.7088,189.7363,993.0355,524.4721,461.0445,395.3651,236.7916,932.0862,199,-0.328576405,39.47713925,729777.4375134202,4373114.40306444,2014-01-10 13:00:05,1389358805
v31021,2014-04-25,20:46:44,AlarmasMujer,Valencia,2014,4,17,115,5,Thursday,20,-0.331755012,39.4642067,386.5682517,190.7743,403.4788,25.4424,64.3886,365.4818,534.1405,306.6034,288.1126,7.44597,435.8719,238,-0.334142275,39.46532225,729546.8054780492,4371690.748305361,2014-04-25 20:46:44,1398458804
v31481,2014-05-16,21:13:11,AlarmasMujer,Valencia,2014,5,20,136,5,Thursday,21,-0.40062499,39.46821594,1565.563038,263.9605,658.2149,433.9234,752.1301,376.0961,964.2888,111.7425,766.7276,149.5342,862.6265,226,-0.400932715,39.46532225,723608.3400853388,4371962.52766682,2014-05-16 21:13:11,1400274791
v31763,2014-05-30,23:29:15,AlarmasMujer,Valencia,2014,5,22,150,5,Thursday,23,-0.381646872,39.4708786,239.1906871,262.401,214.7304,13.1297,375.5496,357.325,541.6735,164.7063,342.41,42.8097,543.8125,209,-0.384235105,39.47123075,725232.5390732201,4372305.380761527,2014-05-30 23:29:15,1401492555
v32215,2014-06-20,21:32:10,AlarmasMujer,Valencia,2014,6,25,171,5,Thursday,21,-0.378529996,39.49450684,685.5877442,57.3206,888.5273,754.8905,1254.7475,1162.0521,996.1385,702.7949,891.0161,320.6873,767.0641,130,-0.378669235,39.49486475,725424.3349393788,4374935.980592284,2014-06-20 21:32:10,1403299930
