crime_id,crime_date,crime_time,crime_type,muni,year,month,week,day,week_day,week_day_name,crime_hour,crime_lon,crime_lat,atm_dist,bank_dist,bar_dist,cafe_dist,industrial_dist,market_dist,nightclub_dist,police_dist,pub_dist,restaurant_dist,taxi_dist,grid_id,grid_lon,grid_lat,utm_x,utm_y,datetime,timestamp
v12032,2011-12-21,20:07:36,AlarmasMujer,Valencia,2011,12,51,355,3,Tuesday,20,-0.350793958,39.46535492,271.8922016,205.1898,24.9584,14.1271,126.723,327.4314,1603.6585,1538.4007,239.129,26.5654,664.6213,235,-0.350839885,39.46532225,727904.9258694268,4371769.854312421,2011-12-21 20:07:36,1324498056
v20276,2012-11-28,21:23:24,AlarmasMujer,Valencia,2012,11,48,333,3,Tuesday,21,-0.329606593,39.46866989,273.605049,621.2184,261.9065,176.153,22.2134,344.5121,613.3119,111.9583,327.4515,123.7281,118.2113,219,-0.328576405,39.47123075,729716.9703767304,4372191.655133085,2012-11-28 21:23:24,1354137804
v27147,2013-10-16,12:31:23,AlarmasMujer,Valencia,2013,10,42,289,3,Tuesday,12,-0.366733909,39.46193314,841.775761,169.2319,400.625,140.6547,429.1326,418.0698,579.4763,551.9813,140.1718,140.7277,894.2777,252,-0.367537495,39.45941375,726544.5649115078,4371349.814182565,2013-10-16 12:31:23,1381926683
v27155,2013-10-16,20:59:50,AlarmasMujer,Valencia,2013,10,42,289,3,Tuesday,20,-0.354533017,39.47112656,489.9196949,310.6114,57.5263,245.265,393.1007,499.7659,1342.3831,958.0967,401.2354,152.5045,806.3578,214,-0.356405755,39.47123075,727564.4024578774,4372401.068660244,2013-10-16 20:59:50,1381957190
v29587,2014-02-19,22:54:06,AlarmasMujer,Valencia,2014,2,8,50,3,Tuesday,22,-0.339069992,39.47105408,530.8720937,300.6405,562.4562,824.3857,363.7535,639.5775,1119.7509,874.8507,611.3822,199.1602,423.7757,217,-0.339708145,39.47123075,728894.9620107922,4372432.211906103,2014-02-19 22:54:06,1392850446
v29846,2014-03-05,13:48:17,AlarmasMujer,Valencia,2014,3,10,64,3,Tuesday,13,-0.365545869,39.443367,1235.454327,1095.8207,989.5488,1361.0616,370.5527,1923.8539,1953.2988,764.3698,1904.4162,550.7155,1454.3754,312,-0.367537495,39.44168825,726707.0448219402,4369291.914423923,2014-03-05 13:48:17,1394027297
v31122,2014-04-30,01:37:45,AlarmasMujer,Valencia,2014,4,18,120,3,Tuesday,1,-0.347988129,39.47079468,384.4297065,93.5403,144.6903,73.409,676.7224,756.4646,1620.408,1604.992,287.9448,83.9284,689.4187,216,-0.345274015,39.47123075,728128.5595242311,4372380.788075854,2014-04-30 01:37:45,1398821865
v31127,2014-04-30,19:44:07,AlarmasMujer,Valencia,2014,4,18,120,3,Tuesday,19,-0.391424358,39.45479202,1199.138518,214.3651,62.8161,149.4813,37.4081,1592.3059,156.3528,810.365,91.5032,247.4107,967.09,268,-0.389800975,39.45350525,724443.0669770563,4370495.326576499,2014-04-30 19:44:07,1398887047
v33995,2014-09-10,21:17:45,AlarmasMujer,Valencia,2014,9,37,253,3,Tuesday,21,-0.390679985,39.45278549,1243.15323,115.7851,158.4921,26.7547,243.2861,1784.984,370.3066,978.5615,195.6004,369.9984,1138.8516,268,-0.389800975,39.45350525,724513.5719211006,4370274.452279774,2014-09-10 21:17:45,1410383865
v34465,2014-10-01,07:53:35,AlarmasMujer,Valencia,2014,10,40,274,3,Tuesday,7,-0.37935999,39.47898865,469.5941382,466.2075,224.8071,56.4834,1064.0036,534.4889,687.0951,852.9611,306.7199,52.2399,577.5682,190,-0.378669235,39.47713925,725403.0892977776,4373211.339632797,2014-10-01 07:53:35,1412150015
v34772,2014-10-15,18:15:17,AlarmasMujer,Valencia,2014,10,42,288,3,Tuesday,18,-0.392120004,39.49481583,27.88305315,249.978,156.5256,517.9298,1950.8988,2094.9086,1429.8651,1543.3934,813.5527,402.547,908.191,128,-0.389800975,39.49486475,724254.5591034851,4374936.333016081,2014-10-15 18:15:17,1413396917
v42473,2015-10-14,14:14:43,AlarmasMujer,Valencia,2015,10,41,287,3,Tuesday,14,-0.351656884,39.47253036,455.9094062,183.3925,114.5886,225.7074,639.4528,677.5522,1624.3115,1218.2926,407.752,205.7523,1057.6827,215,-0.350839885,39.47123075,727807.2609730661,4372564.166567991,2015-10-14 14:14:43,1444832083
v42927,2015-11-04,19:36:31,AlarmasMujer,Valencia,2015,11,44,308,3,Tuesday,19,-0.392050952,39.483078,328.1742284,306.6756,297.9141,286.7826,797.2327,1220.6641,484.5957,1412.6329,1057.5993,245.9804,445.8207,168,-0.389800975,39.48304775,724298.2383397163,4373633.575113858,2015-11-04 19:36:31,1446665791
v43623,2015-12-09,17:05:57,AlarmasMujer,Valencia,2015,12,49,343,3,Tuesday,17,-0.348455638,39.45875549,82.0133334,75.8666,328.324,236.5977,683.3281,923.1587,1303.1385,1936.8963,288.5122,104.5565,231.6882,255,-0.350839885,39.45941375,728127.6759331459,4371043.217578776,2015-12-09 17:05:57,1449680757
v44542,2016-01-20,21:39:52,AlarmasMujer,Valencia,2016,1,3,20,3,Tuesday,21,-0.34477675,39.46879959,597.0115465,100.1103,260.2338,304.7483,804.2422,956.201,1247.0293,1430.1109,375.8798,200.0881,314.0643,216,-0.345274015,39.47123075,728411.3722783275,4372167.466843807,2016-01-20 21:39:52,1453325992
v44840,2016-02-03,19:35:42,AlarmasMujer,Valencia,2016,2,5,34,3,Tuesday,19,-0.399333358,39.46989822,1414.438597,169.9047,833.2831,222.5886,650.5789,587.4327,856.6812,247.4663,642.8625,31.1523,829.6177,206,-0.400932715,39.47123075,723714.0744643009,4372152.472105672,2016-02-03 19:35:42,1454528142
v49567,2016-08-17,13:24:01,AlarmasMujer,Valencia,2016,8,33,230,3,Tuesday,13,-0.328602642,39.46908188,381.1752608,686.6253,183.9281,265.6456,11.8941,452.2306,514.2124,190.4753,372.4924,29.843,152.362,219,-0.328576405,39.47123075,729801.989645063,4372239.94875591,2016-08-17 13:24:01,1471440241
v50148,2016-09-07,12:05:23,AlarmasMujer,Valencia,2016,9,36,251,3,Tuesday,12,-0.364640713,39.4736824,510.4931687,203.7912,440.971,179.7386,303.2881,1305.7141,351.3114,85.2374,384.0831,224.2433,848.4318,213,-0.361971625,39.47123075,726686.513006363,4372659.281367461,2016-09-07 12:05:23,1473249923
v50467,2016-09-21,21:31:56,AlarmasMujer,Valencia,2016,9,38,265,3,Tuesday,21,-0.390912592,39.44561005,1784.11223,289.5164,857.2378,258.1304,420.7797,2338.0804,594.7618,1687.5225,162.3133,333.0299,1005.9043,288,-0.389800975,39.44759675,724516.6167235554,4369477.384154694,2016-09-21 21:31:56,1474493516
v51134,2016-10-19,15:10:27,AlarmasMujer,Valencia,2016,10,42,293,3,Tuesday,15,-0.400847822,39.49178314,471.9564668,76.8253,153.8433,581.3344,1976.1931,2445.8702,1694.9378,2271.7801,114.5008,34.9579,163.6907,146,-0.400932715,39.48895625,723513.6636229348,4374577.98877836,2016-10-19 15:10:27,1476889827
v51609,2016-11-09,02:09:27,AlarmasMujer,Valencia,2016,11,45,314,3,Tuesday,2,-0.385403812,39.48913574,37.15634127,255.2107,177.9973,528.066,1434.3165,1229.975,816.0142,705.9493,993.5474,392.2535,932.968,149,-0.384235105,39.48895625,724850.4802660821,4374322.58144545,2016-11-09 02:09:27,1478657367
v51910,2016-11-23,14:02:53,AlarmasMujer,Valencia,2016,11,47,328,3,Tuesday,14,-0.396319866,39.46368408,1334.593674,567.5713,458.5215,181.2854,539.2084,713.0212,684.6606,458.6769,545.1923,130.7962,544.5304,227,-0.395366845,39.46532225,723993.2731799388,4371470.178846157,2016-11-23 14:02:53,1479909773
v54720,2017-03-22,20:02:21,AlarmasMujer,Valencia,2017,3,12,81,3,Tuesday,20,-0.395378947,39.47028732,1017.121567,363.5581,599.5162,268.5201,321.4413,918.9315,496.4917,318.736,277.7163,244.1039,487.9673,207,-0.395366845,39.47123075,724053.036478888,4372205.4935805015,2017-03-22 20:02:21,1490212941
v56274,2017-05-24,21:57:24,AlarmasMujer,Valencia,2017,5,21,144,3,Tuesday,21,-0.387439519,39.4513855,1112.373144,201.6279,488.8083,182.909,151.4959,1894.1955,387.9019,1094.1755,270.3989,165.0311,1114.1255,268,-0.389800975,39.45350525,724796.9344842676,4370127.130817162,2017-05-24 21:57:24,1495663044
v57470,2017-07-05,00:00:47,AlarmasMujer,Valencia,2017,7,27,186,3,Tuesday,0,-0.370334744,39.46142578,881.1562514,77.0489,305.8029,118.5042,509.0902,76.5476,219.3028,557.9915,101.7048,74.3602,797.4639,251,-0.373103365,39.45941375,726236.3804134221,4371284.445583191,2017-07-05 00:00:47,1499212847
v60535,2017-10-25,00:46:11,AlarmasMujer,Valencia,2017,10,43,298,3,Tuesday,0,-0.396633685,39.49477386,457.5911858,295.5339,295.3374,441.2645,2051.9869,2462.3581,1627.5162,1950.7527,422.2152,419.3327,557.053,127,-0.395366845,39.49486475,723866.5057202302,4374920.438649079,2017-10-25 00:46:11,1508892371
v61504,2017-12-06,22:56:54,AlarmasMujer,Valencia,2017,12,49,340,3,Tuesday,22,-0.361737669,39.48322296,848.5815257,179.9376,212.1791,236.5946,72.4849,1240.1396,1248.0641,985.9782,95.5685,3.3184,1475.1444,173,-0.361971625,39.48304775,726905.2332036714,4373725.623940246,2017-12-06 22:56:54,1512601014
