crime_id,crime_date,crime_time,crime_type,muni,year,month,week,day,week_day,week_day_name,crime_hour,crime_lon,crime_lat,atm_dist,bank_dist,bar_dist,cafe_dist,industrial_dist,market_dist,nightclub_dist,police_dist,pub_dist,restaurant_dist,taxi_dist,grid_id,grid_lon,grid_lat,utm_x,utm_y,datetime,timestamp
v2044,2010-06-24,06:26:12,AlarmasMujer,Valencia,2010,6,25,175,4,Wednesday,6,-0.376044989,39.49228668,528.1752897,145.295,682.2522,622.4279,928.8938,879.6315,738.1557,380.2071,557.9222,365.8173,576.2105,130,-0.378669235,39.49486475,725645.2364456182,4374695.762631635,2010-06-24 06:26:12,1277360772
v8301,2011-06-09,11:43:57,AlarmasMujer,Valencia,2011,6,23,160,4,Wednesday,11,-0.373862833,39.46781158,272.7039368,18.8458,292.7681,102.7529,454.902,595.7287,378.6412,990.1468,250.2882,64.4293,199.0672,231,-0.373103365,39.46532225,725912.1442705699,4371984.430349339,2011-06-09 11:43:57,1307619837
v10470,2011-09-22,15:41:05,AlarmasMujer,Valencia,2011,9,38,265,4,Wednesday,15,-0.342985332,39.47253799,891.602634,275.7402,154.4218,484.2597,734.0072,1055.1365,1421.79,1289.5866,196.6961,52.1847,502.5781,216,-0.345274015,39.47123075,728553.255719957,4372586.986194663,2011-09-22 15:41:05,1316706065
v12745,2012-01-26,04:57:59,AlarmasMujer,Valencia,2012,1,4,26,4,Wednesday,4,-0.366925448,39.4618187,849.5504961,185.835,420.2818,141.1152,450.1319,399.0581,559.8147,537.6498,142.4692,130.4445,892.9066,252,-0.367537495,39.45941375,726528.4555157083,4371336.629313874,2012-01-26 04:57:59,1327553879
v27161,2013-10-17,12:01:58,AlarmasMujer,Valencia,2013,10,42,290,4,Wednesday,12,-0.357611388,39.44478607,749.9422708,1637.1519,995.8115,1011.758,87.7266,2168.3301,2248.0944,1226.9529,1359.0839,127.8593,962.6485,294,-0.356405755,39.44759675,727385.3192578284,4369469.4275588095,2013-10-17 12:01:58,1382011318
v29075,2014-01-23,16:47:05,AlarmasMujer,Valencia,2014,1,4,23,4,Wednesday,16,-0.376150012,39.49624634,452.2595628,107.0923,1060.0294,514.6731,1174.3366,1272.1586,1134.2599,695.7262,871.4206,605.325,547.599,130,-0.378669235,39.49486475,725623.39315281,4375135.033418079,2014-01-23 16:47:05,1390495625
v31290,2014-05-08,09:58:55,AlarmasMujer,Valencia,2014,5,19,128,4,Wednesday,9,-0.364995003,39.48601151,625.5250553,212.0225,56.9834,301.2555,310.3646,944.6297,1093.0823,893.7096,86.0415,21.2991,1057.8179,152,-0.367537495,39.48895625,726615.9878116568,4374026.957138863,2014-05-08 09:58:55,1399543135
v31601,2014-05-22,11:23:24,AlarmasMujer,Valencia,2014,5,21,142,4,Wednesday,11,-0.374590009,39.49600983,294.8465271,92.7493,1004.134,357.8633,1051.1636,1236.5235,1117.6158,616.5911,781.9593,733.671,391.2696,131,-0.373103365,39.49486475,725758.3207016017,4375112.691711654,2014-05-22 11:23:24,1400757804
v32339,2014-06-26,20:41:03,AlarmasMujer,Valencia,2014,6,26,177,4,Wednesday,20,-0.33465001,39.45950317,886.0906693,109.2898,94.5558,88.1099,106.6209,214.1074,127.9701,695.8279,782.6932,158.984,986.505,258,-0.334142275,39.45941375,729313.1642427768,4371161.267131276,2014-06-26 20:41:03,1403815263
v41293,2015-08-20,19:40:25,AlarmasMujer,Valencia,2015,8,34,232,4,Wednesday,19,-0.388024986,39.45175934,1119.744525,132.2989,419.3981,113.496,187.2049,1922.2965,450.8328,1053.5041,318.0575,159.7654,1127.6654,268,-0.389800975,39.45350525,724745.3484741435,4370167.167201393,2015-08-20 19:40:25,1440099625
v46861,2016-05-05,00:37:35,AlarmasMujer,Valencia,2016,5,18,126,4,Wednesday,0,-0.328836352,39.47654724,552.5700701,66.5656,552.8619,151.183,221.4647,944.9518,511.071,443.1976,440.3737,283.4626,884.9583,199,-0.328576405,39.47713925,729757.3045739718,4373068.033281487,2016-05-05 00:37:35,1462408655
v48081,2016-06-23,04:17:30,AlarmasMujer,Valencia,2016,6,25,175,4,Wednesday,4,-0.37892139,39.47156525,135.1864766,122.9733,67.0418,46.7742,656.3101,211.2407,814.0412,443.3306,156.5812,125.3328,465.4051,210,-0.378669235,39.47123075,725464.8004916048,4372388.420677387,2016-06-23 04:17:30,1466655450
v48458,2016-07-07,09:28:58,AlarmasMujer,Valencia,2016,7,27,189,4,Wednesday,9,-0.396257579,39.47188568,1104.113448,243.1531,674.9514,157.1655,499.1977,945.1369,603.9772,406.9139,444.4211,103.5706,465.4386,207,-0.395366845,39.47123075,723972.316341672,4372380.729649603,2016-07-07 09:28:58,1467883738
v49033,2016-07-28,02:09:02,AlarmasMujer,Valencia,2016,7,30,210,4,Wednesday,2,-0.333414227,39.45112991,1333.732434,954.4383,903.5677,893.4868,11.9392,146.3578,953.8331,1301.4058,1262.6509,778.4785,1485.5302,278,-0.334142275,39.45350525,729447.0088274674,4370234.955844071,2016-07-28 02:09:02,1469671742
